length,n_var,call,pi,tajd,var_type
46,38,302121422.0,2.56432277121e-08,-1.09948321651,ins
46,19,302121422.0,1.35184406961e-08,-0.897744735224,del
47,24,302121422.0,1.0173671864e-08,-2.1052569164,ins
47,5,302121422.0,3.20540346401e-09,-0.957297261845,del
48,44,302121422.0,2.34830645081e-08,-1.71270589008,ins
48,19,302121422.0,2.05912331221e-08,0.611199254693,del
49,23,302121422.0,1.0678871323e-08,-1.93168959967,ins
49,13,302121422.0,9.89494112804e-09,-0.668033282148,del
50,29,302121422.0,1.64102720821e-08,-1.53887882657,ins
50,9,302121422.0,5.52235270702e-09,-1.1772154102,del
