bin	count	type
1	67722	ins
1	88826	del
10	132	ins
10	158	del
11	112	ins
11	108	del
12	55	ins
12	76	del
13	36	ins
13	69	del
14	37	ins
14	23	del
15	8	ins
15	3	del
16	11	ins
16	1	del
2	19356	ins
2	26061	del
3	9214	ins
3	12330	del
4	4887	ins
4	6446	del
5	2315	ins
5	3118	del
6	1238	ins
6	1695	del
7	742	ins
7	1019	del
8	364	ins
8	444	del
9	285	ins
9	373	del
