run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,bin
171,1,3,0.000145806816467,na,na,0,0.0748168383618,ins,1,neu,87315.3766511,,500,True,indel_continuous_1class,30,NA,16
244,1,3,0.000212865250128,na,na,0,0.0185383792272,del,1,neu,87270.1453512,sel_del_scale|sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,12
244,1,3,0.000183053469106,5000,0.009702790417,na,0,del,1,sel,87270.1453512,sel_del_scale|sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,12
244,1,3,0.000139217955402,0.106090778486,0.001,na,0.010349737091,ins,1,sel,87270.1453512,sel_del_scale|sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,12
244,1,3,0.000136632427355,na,na,0,0.0119829166,ins,1,neu,87270.1453512,sel_del_scale|sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,12
26,1,3,0.000277775929184,131.676935466,0.196072126659,na,0.0130097529259,del,1,sel,87251.1191248,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,18
26,1,3,0.000212388300288,na,na,0,0.0136649645261,del,1,neu,87251.1191248,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,18
26,1,3,0.0001486960765,144.994282974,0.0637810673971,na,0.0114631069246,ins,1,sel,87251.1191248,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,18
26,1,3,0.000135332889433,na,na,0,0,ins,1,neu,87251.1191248,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,18
134,1,3,0.00021858557678,na,na,0,0.0455380669302,del,1,neu,87233.002495,sel_ins_scale,500,True,indel_continuous_1class,30,NA,21
134,1,3,0.000216085255568,27.3191016483,0.151557752286,na,0.0752944238144,del,1,sel,87233.002495,sel_ins_scale,500,True,indel_continuous_1class,30,NA,21
134,1,3,0.000163196156665,0.1,13.0371343167,na,0.0910785736223,ins,1,sel,87233.002495,sel_ins_scale,500,True,indel_continuous_1class,30,NA,21
134,1,3,0.000145781990769,na,na,0,0.0746529595733,ins,1,neu,87233.002495,sel_ins_scale,500,True,indel_continuous_1class,30,NA,21
127,1,3,0.000247950653426,263.098052662,0.161967250879,na,0.000246688898263,del,1,sel,87174.8000646,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,8
127,1,3,0.000212107965843,na,na,0,0.0137676061554,del,1,neu,87174.8000646,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,8
127,1,3,0.000165181744216,128.826988725,0.0826540691279,na,0.0427711469988,ins,1,sel,87174.8000646,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,8
127,1,3,0.000135118181548,na,na,0,0,ins,1,neu,87174.8000646,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,8
125,1,3,0.000224744315014,103.333883061,0.138876979436,na,0.00720375588485,del,1,sel,87146.7954746,,500,True,indel_continuous_1class,30,NA,10
125,1,3,0.000212623566436,na,na,0,0.016526815169,del,1,neu,87146.7954746,,500,True,indel_continuous_1class,30,NA,10
125,1,3,0.00013610441629,na,na,0,0.00722187772022,ins,1,neu,87146.7954746,,500,True,indel_continuous_1class,30,NA,10
125,1,3,0.00013066321158,2087.920723,0.0081218012764,na,0.000357936945026,ins,1,sel,87146.7954746,,500,True,indel_continuous_1class,30,NA,10
233,1,3,0.000232342250832,416.138016462,0.0793001551473,na,0.0157857542554,del,1,sel,87128.0007372,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,14
233,1,3,0.000213812595422,na,na,0,0.0227758867559,del,1,neu,87128.0007372,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,14
233,1,3,0.000138060790515,na,na,0,0.0220515903209,ins,1,neu,87128.0007372,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,14
233,1,3,0.000117492481442,0.1,0.00101408168984,na,0,ins,1,sel,87128.0007372,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,14
