run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha
130,1,3,0.000285458344339,195.945181092,0.146629117361,na,0.0100627099599,del,1,sel,135684.33352,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
130,1,3,0.000212445622713,na,na,0,0.013238090704,del,1,neu,135684.33352,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
130,1,3,0.00015578887819,125.593377977,0.0294247135948,na,0.0101420309197,ins,1,sel,135684.33352,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
130,1,3,0.000135520333056,na,na,0,0,ins,1,neu,135684.33352,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
47,1,3,0.000265485376396,133.928937396,0.133428435646,na,0.0129927798587,del,1,sel,128673.833728,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
47,1,3,0.000213750035743,na,na,0,0.0134038020648,del,1,neu,128673.833728,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
47,1,3,0.000155544563097,141.299582367,0.0360071872678,na,0.0130571982053,ins,1,sel,128673.833728,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
47,1,3,0.000136293220625,na,na,0,0,ins,1,neu,128673.833728,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
116,1,3,0.000255891066443,92.2391446806,0.127867268502,na,0.015683901586,del,1,sel,123959.688316,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
116,1,3,0.000213074998471,na,na,0,0.0134101991704,del,1,neu,123959.688316,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
116,1,3,0.000151193739556,133.934311486,0.022208154206,na,0.00887829476097,ins,1,sel,123959.688316,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
116,1,3,0.000135860803994,na,na,0,0,ins,1,neu,123959.688316,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
35,1,3,0.00025542720316,122.930157656,0.115883265076,na,0.0215985594668,del,1,sel,119075.625862,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
35,1,3,0.000212178722102,na,na,0,0.0133131084416,del,1,neu,119075.625862,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
35,1,3,0.000153416385784,97.6424525563,0.0365531044985,na,0.00185806928779,ins,1,sel,119075.625862,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
