run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,bin
238,1,3,1e-10,na,na,0,0.256388920298,del,1,neu,62915.2697122,neu_ins_theta_1|sel_ins_e|neu_del_theta_1|sel_ins_scale,500,True,indel_continuous_1class,30,7
238,1,3,1e-10,na,na,0,0.176266501955,ins,1,neu,62915.2697122,neu_ins_theta_1|sel_ins_e|neu_del_theta_1|sel_ins_scale,500,True,indel_continuous_1class,30,7
343,1,3,0.00046016206634,682.07360279,0.291926987852,na,0.0123012784943,del,1,sel,54295.9750411,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,8
343,1,3,0.000159242380086,0.115827106639,40.4889255272,na,0,ins,1,sel,54295.9750411,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,8
343,1,3,1e-10,na,na,0,0.106073345696,del,1,neu,54295.9750411,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,8
343,1,3,1e-10,na,na,0,0.000740073962785,ins,1,neu,54295.9750411,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,8
152,1,3,0.000581240519218,111.294288558,0.768694989441,na,0.0150667730954,del,1,sel,48627.6765907,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,9
152,1,3,0.000342075399017,169.901156551,0.572777832655,na,0,ins,1,sel,48627.6765907,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,9
152,1,3,1e-10,na,na,0,0.00528158132313,ins,1,neu,48627.6765907,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,9
152,1,3,1e-10,na,na,0,0.00159918055853,del,1,neu,48627.6765907,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,9
25,1,3,0.000519832412045,1319.99446379,0.243447206564,na,0.0405374632807,del,1,sel,44463.3801812,neu_ins_theta_1|neu_del_theta_1|sel_ins_scale,500,True,indel_continuous_1class,30,10
25,1,3,0.000233015286401,5000,0.0676323000531,na,0.0670743894771,ins,1,sel,44463.3801812,neu_ins_theta_1|neu_del_theta_1|sel_ins_scale,500,True,indel_continuous_1class,30,10
25,1,3,1e-10,na,na,0,0.0661691898334,del,1,neu,44463.3801812,neu_ins_theta_1|neu_del_theta_1|sel_ins_scale,500,True,indel_continuous_1class,30,10
25,1,3,1e-10,na,na,0,0.000122693019336,ins,1,neu,44463.3801812,neu_ins_theta_1|neu_del_theta_1|sel_ins_scale,500,True,indel_continuous_1class,30,10
30,1,3,0.000868692777984,128.322084498,1.08017932598,na,0.05009455166,del,1,sel,39908.0451511,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,11
