cat	prop	var	dist	theta
0 - 1	0.8997	ins	38	0.000163303318439
>1	0.1003	ins	38	0.000163303318439
0 - 1	0.4573	del	37	0.000307041634421
>1	0.5427	del	37	0.000307041634421
0 - 1	0.9379	ins	37	0.000156280827029
>1	0.0621	ins	37	0.000156280827029
0 - 1	0.5762	del	39	0.000266887644165
>1	0.4238	del	39	0.000266887644165
0 - 1	0.9992	ins	39	0.000156234292302
>1	0.0008	ins	39	0.000156234292302
0 - 1	0.6968	del	40	0.000240244256965
>1	0.3032	del	40	0.000240244256965
0 - 1	0.6169	ins	40	0.000205123178297
>1	0.3831	ins	40	0.000205123178297
0 - 1	0.6842	del	41	0.000262292007856
>1	0.3158	del	41	0.000262292007856
0 - 1	1.0	ins	41	0.00014382942881
>1	0.0	ins	41	0.00014382942881
0 - 1	0.6135	del	42	0.000288027744159
>1	0.3865	del	42	0.000288027744159
0 - 1	0.5907	ins	42	0.00019707015596
>1	0.4093	ins	42	0.00019707015596
0 - 1	0.5613	del	43	0.000283205277775
>1	0.4387	del	43	0.000283205277775
0 - 1	0.9038	ins	43	0.000161281021806
>1	0.0962	ins	43	0.000161281021806
0 - 1	0.4866	del	44	0.000303073568114
>1	0.5134	del	44	0.000303073568114
0 - 1	0.7654	ins	44	0.000171923763756
>1	0.2346	ins	44	0.000171923763756
0 - 1	0.613	del	45	0.00028106300125
>1	0.387	del	45	0.00028106300125
0 - 1	0.7487	ins	45	0.000195735452848
>1	0.2513	ins	45	0.000195735452848
0 - 1	0.5948	del	46	0.00028358420152
>1	0.4052	del	46	0.00028358420152
0 - 1	0.7202	ins	46	0.000193931143181
>1	0.2798	ins	46	0.000193931143181
0 - 1	0.6056	del	47	0.000288567424482
>1	0.3944	del	47	0.000288567424482
0 - 1	0.8554	ins	47	0.000179063445598
>1	0.1446	ins	47	0.000179063445598
0 - 1	0.7098	del	49	0.000290872502125
>1	0.2902	del	49	0.000290872502125
0 - 1	1.0	ins	49	0.000153730796379
>1	0.0	ins	49	0.000153730796379
0 - 1	0.3347	del	48	0.000339456446882
>1	0.6653	del	48	0.000339456446882
0 - 1	1.0	ins	48	0.000154379534116
>1	0.0	ins	48	0.000154379534116
0 - 1	0.6727	del	50	0.000254903789433
>1	0.3273	del	50	0.000254903789433
0 - 1	1.0	ins	50	0.000159154283945
>1	0.0	ins	50	0.000159154283945
