run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,bin
403,1,3,0.000213204139041,na,na,0,0.0134524485308,del,1,neu,118646.181483,neu_ins_e_1,500,True,indel_continuous_1class,30,10
403,1,3,0.000143806680963,624.68680346,0.0141250023862,na,0.0121795289981,ins,1,sel,118646.181483,neu_ins_e_1,500,True,indel_continuous_1class,30,10
403,1,3,0.000135928738066,na,na,0,0,ins,1,neu,118646.181483,neu_ins_e_1,500,True,indel_continuous_1class,30,10
169,1,3,0.000292963760398,146.410929462,0.189168766127,na,0.0174777686019,del,1,sel,116743.783481,neu_ins_e_1,500,True,indel_continuous_1class,30,11
169,1,3,0.000213186806323,na,na,0,0.0135326716007,del,1,neu,116743.783481,neu_ins_e_1,500,True,indel_continuous_1class,30,11
169,1,3,0.000147215951922,156.493878626,0.0224918565658,na,0.0196872510946,ins,1,sel,116743.783481,neu_ins_e_1,500,True,indel_continuous_1class,30,11
169,1,3,0.000135888681945,na,na,0,0,ins,1,neu,116743.783481,neu_ins_e_1,500,True,indel_continuous_1class,30,11
105,1,3,0.000285579332104,120.497758098,0.189702577277,na,0.0194107582285,del,1,sel,114282.875948,neu_ins_e_1,500,True,indel_continuous_1class,30,12
105,1,3,0.000213002088208,na,na,0,0.0136317613208,del,1,neu,114282.875948,neu_ins_e_1,500,True,indel_continuous_1class,30,12
105,1,3,0.000173058921976,291.596071058,0.0666366597505,na,0.0219836818026,ins,1,sel,114282.875948,neu_ins_e_1,500,True,indel_continuous_1class,30,12
105,1,3,0.000135736024534,na,na,0,0,ins,1,neu,114282.875948,neu_ins_e_1,500,True,indel_continuous_1class,30,12
183,1,3,0.000280213211654,120.187882263,0.171585773574,na,0.0485979867392,del,1,sel,112229.672286,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,13
183,1,3,0.000219585707684,na,na,0,0.0451151581437,del,1,neu,112229.672286,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,13
183,1,3,0.000158725906548,5000,0.00209541485845,na,0.0747789532249,ins,1,sel,112229.672286,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,13
183,1,3,0.000146428375914,na,na,0,0.0739393554947,ins,1,neu,112229.672286,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,13
359,1,3,0.000260429277433,307.867472263,0.108654177134,na,0.025929850591,del,1,sel,109510.933751,neu_ins_e_1,500,True,indel_continuous_1class,30,14
359,1,3,0.000212286157487,na,na,0,0.0135738181591,del,1,neu,109510.933751,neu_ins_e_1,500,True,indel_continuous_1class,30,14
359,1,3,0.000150865419046,5.10783285486,0.240624365572,na,0.0183701774688,ins,1,sel,109510.933751,neu_ins_e_1,500,True,indel_continuous_1class,30,14
359,1,3,0.000135300512737,na,na,0,0,ins,1,neu,109510.933751,neu_ins_e_1,500,True,indel_continuous_1class,30,14
238,1,3,0.000250015159646,108.199174146,0.158240561451,na,0.0170176944158,del,1,sel,106464.572467,neu_ins_e_1,500,True,indel_continuous_1class,30,15
238,1,3,0.000212617643802,na,na,0,0.0135005521953,del,1,neu,106464.572467,neu_ins_e_1,500,True,indel_continuous_1class,30,15
238,1,3,0.000148178364444,290.148320097,0.0353340516582,na,0.0240911063177,ins,1,sel,106464.572467,neu_ins_e_1,500,True,indel_continuous_1class,30,15
238,1,3,0.000135537133494,na,na,0,0,ins,1,neu,106464.572467,neu_ins_e_1,500,True,indel_continuous_1class,30,15
56,1,3,0.000247238820723,218.540130368,0.116718314872,na,0.0169357756579,del,1,sel,105392.079424,neu_ins_e_1,500,True,indel_continuous_1class,30,16
56,1,3,0.000212896329741,na,na,0,0.0134806515481,del,1,neu,105392.079424,neu_ins_e_1,500,True,indel_continuous_1class,30,16
56,1,3,0.000151145474716,139.137073304,0.0419588105841,na,0.0277456333266,ins,1,sel,105392.079424,neu_ins_e_1,500,True,indel_continuous_1class,30,16
56,1,3,0.000135722533496,na,na,0,0,ins,1,neu,105392.079424,neu_ins_e_1,500,True,indel_continuous_1class,30,16
398,1,3,0.000228475154284,100.640499727,0.115538397741,na,0.0144385108872,del,1,sel,104126.074538,neu_ins_e_1,500,True,indel_continuous_1class,30,17
398,1,3,0.000212256179151,na,na,0,0.0133253610264,del,1,neu,104126.074538,neu_ins_e_1,500,True,indel_continuous_1class,30,17
398,1,3,0.000155264164161,300.944847051,0.0428239034147,na,0.0106327740894,ins,1,sel,104126.074538,neu_ins_e_1,500,True,indel_continuous_1class,30,17
398,1,3,0.000135367940908,na,na,0,0,ins,1,neu,104126.074538,neu_ins_e_1,500,True,indel_continuous_1class,30,17
145,1,3,0.000213218657272,na,na,0,0.0133986379245,del,1,neu,102839.018071,sel_ins_e|neu_ins_e_1,500,True,indel_continuous_1class,30,18
145,1,3,0.000212765027804,214.978537774,0.0604279778703,na,0.0112154103639,del,1,sel,102839.018071,sel_ins_e|neu_ins_e_1,500,True,indel_continuous_1class,30,18
145,1,3,0.000139713403242,132.127055595,0.0169589193276,na,0,ins,1,sel,102839.018071,sel_ins_e|neu_ins_e_1,500,True,indel_continuous_1class,30,18
145,1,3,0.000135956819662,na,na,0,0,ins,1,neu,102839.018071,sel_ins_e|neu_ins_e_1,500,True,indel_continuous_1class,30,18
335,1,3,0.000249308714904,128.914938785,0.151703057467,na,0.0184533887721,del,1,sel,101308.237583,neu_ins_e_1,500,True,indel_continuous_1class,30,19
