run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,bin
313,1,3,0.000279939038921,123.26587308,0.104904371633,na,0.0162533134881,del,1,sel,96960.9698872,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,10
313,1,3,0.000213307059715,na,na,0,0.0133560898737,del,1,neu,96960.9698872,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,10
313,1,3,0.000176068036866,177.43073802,0.0302932214344,na,0.0020847004153,ins,1,sel,96960.9698872,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,10
313,1,3,0.000136027945838,na,na,0,0,ins,1,neu,96960.9698872,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,10
25,1,3,0.000257976961449,111.511287658,0.0839560294671,na,0.0126301745628,del,1,sel,92392.4475847,sel_ins_e,500,True,indel_continuous_1class,30,NA,11
25,1,3,0.000213943084934,na,na,0,0.0205979428766,del,1,neu,92392.4475847,sel_ins_e,500,True,indel_continuous_1class,30,NA,11
25,1,3,0.000165264736053,259.316595854,0.0253838892567,na,0,ins,1,sel,92392.4475847,sel_ins_e,500,True,indel_continuous_1class,30,NA,11
25,1,3,0.000137833582549,na,na,0,0.017360357786,ins,1,neu,92392.4475847,sel_ins_e,500,True,indel_continuous_1class,30,NA,11
489,1,3,0.000300157351193,149.631735094,0.0993220263784,na,0.0244180245201,del,1,sel,89391.6245438,,500,True,indel_continuous_1class,30,NA,12
489,1,3,0.000213729068122,na,na,0,0.0170808408427,del,1,neu,89391.6245438,,500,True,indel_continuous_1class,30,NA,12
489,1,3,0.000181318531108,371.63839068,0.0486780669507,na,2.22044604925e-18,ins,1,sel,89391.6245438,,500,True,indel_continuous_1class,30,NA,12
489,1,3,0.000136846587971,na,na,0,0.00823444391503,ins,1,neu,89391.6245438,,500,True,indel_continuous_1class,30,NA,12
200,1,3,0.000360974517071,118.131099739,0.223346513073,na,0.0541131173316,del,1,sel,86981.6511237,,500,True,indel_continuous_1class,30,NA,13
200,1,3,0.00021940624518,na,na,0,0.045205444783,del,1,neu,86981.6511237,,500,True,indel_continuous_1class,30,NA,13
200,1,3,0.000201599485649,889.421862948,0.0326296482741,na,0.0679131914989,ins,1,sel,86981.6511237,,500,True,indel_continuous_1class,30,NA,13
200,1,3,0.000146313125852,na,na,0,0.0740924625955,ins,1,neu,86981.6511237,,500,True,indel_continuous_1class,30,NA,13
278,1,3,0.000279185736703,8.56616844843,0.272877910022,na,0.0244966117672,del,1,sel,85873.7888852,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,14
278,1,3,0.000211175770169,na,na,0,0.0137311201259,del,1,neu,85873.7888852,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,14
278,1,3,0.00018671511035,12.6977702289,0.102754591145,na,0.0481949728841,ins,1,sel,85873.7888852,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,14
278,1,3,0.00013453752414,na,na,0,0,ins,1,neu,85873.7888852,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,14
196,1,3,0.000249606710528,0.13102499254,0.001,na,0.0317365112405,del,1,sel,85161.7957347,sel_del_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,15
196,1,3,0.000211454327744,na,na,0,0.0138643658007,del,1,neu,85161.7957347,sel_del_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,15
196,1,3,0.000194853327537,0.1,11.0589473197,na,0.0159088160488,ins,1,sel,85161.7957347,sel_del_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,15
196,1,3,0.000134668477027,na,na,0,0,ins,1,neu,85161.7957347,sel_del_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,15
326,1,3,0.000315517734564,15.3531383881,0.237849609322,na,0.0461119171162,del,1,sel,84537.4936876,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,NA,16
326,1,3,0.000221410380318,5000,0.0119923190701,na,0.0620805128365,ins,1,sel,84537.4936876,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,NA,16
326,1,3,0.00021838285436,na,na,0,0.0457261034643,del,1,neu,84537.4936876,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,NA,16
326,1,3,0.000145664581059,na,na,0,0.0749975973584,ins,1,neu,84537.4936876,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,NA,16
102,1,3,0.000257104811537,5000,0.0023553676257,na,0.00110976927227,del,1,sel,83731.6076437,sel_del_scale|sel_ins_shape,500,True,indel_continuous_1class,30,NA,17
102,1,3,0.000213644878094,na,na,0,0.0228422878938,del,1,neu,83731.6076437,sel_del_scale|sel_ins_shape,500,True,indel_continuous_1class,30,NA,17
102,1,3,0.000178979157109,0.18542592725,0.001,na,0.0292389797629,ins,1,sel,83731.6076437,sel_del_scale|sel_ins_shape,500,True,indel_continuous_1class,30,NA,17
102,1,3,0.000137886484006,na,na,0,0.0218770691189,ins,1,neu,83731.6076437,sel_del_scale|sel_ins_shape,500,True,indel_continuous_1class,30,NA,17
15,1,3,0.000244812181865,12.7301770951,0.262723752979,na,0.00442989117772,del,1,sel,82910.8526165,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,18
15,1,3,0.000211651696394,na,na,0,0.0137261007448,del,1,neu,82910.8526165,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,18
15,1,3,0.000164529900617,5.27666522527,0.174736965214,na,0.0204570779434,ins,1,sel,82910.8526165,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,18
15,1,3,0.000134842966493,na,na,0,0,ins,1,neu,82910.8526165,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,18
63,1,3,0.000333363075197,140.027663425,0.168124237857,na,0.0314171364222,del,1,sel,82765.9263238,,500,True,indel_continuous_1class,30,NA,19
63,1,3,0.00021870235376,na,na,0,0.0455960107265,del,1,neu,82765.9263238,,500,True,indel_continuous_1class,30,NA,19
63,1,3,0.000189375535474,0.145462489381,0.00132365315535,na,0.0435075540725,ins,1,sel,82765.9263238,,500,True,indel_continuous_1class,30,NA,19
63,1,3,0.0001458520628,na,na,0,0.074709813258,ins,1,neu,82765.9263238,,500,True,indel_continuous_1class,30,NA,19
12,1,3,0.000336224208015,470.16727529,0.157828042108,na,0.0212142544713,del,1,sel,82604.8947307,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,20
12,1,3,0.000211820105447,na,na,0,0.0137335335418,del,1,neu,82604.8947307,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,20
12,1,3,0.0001597718679,0.1,0.001,na,0.0344012200854,ins,1,sel,82604.8947307,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,20
12,1,3,0.000134947469851,na,na,0,2.22044604925e-18,ins,1,neu,82604.8947307,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,20
262,1,3,0.000309444775109,5000,0.0192575974536,na,0,del,1,sel,82569.4923233,sel_del_scale|sel_del_e,500,True,indel_continuous_1class,30,NA,22
262,1,3,0.00021246297204,na,na,0,0.0183800002373,del,1,neu,82569.4923233,sel_del_scale|sel_del_e,500,True,indel_continuous_1class,30,NA,22
262,1,3,0.000184448729324,0.121750881783,0.00100740664529,na,0.0487248696819,ins,1,sel,82569.4923233,sel_del_scale|sel_del_e,500,True,indel_continuous_1class,30,NA,22
262,1,3,0.000136261671868,na,na,0,0.0112440318651,ins,1,neu,82569.4923233,sel_del_scale|sel_del_e,500,True,indel_continuous_1class,30,NA,22
251,1,3,0.000415721102253,124.346783819,0.284433159197,na,0.0105986649453,del,1,sel,82517.0766479,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,21
251,1,3,0.000211947321149,na,na,0,0.0136883692796,del,1,neu,82517.0766479,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,21
251,1,3,0.000184170638245,0.1,0.001,na,0.0491494558784,ins,1,sel,82517.0766479,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,21
251,1,3,0.000135043572913,na,na,0,0,ins,1,neu,82517.0766479,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,21
195,1,3,0.00028713502926,112.333792215,0.0918678868158,na,0.045013176093,del,1,sel,82400.098507,r_19,500,True,indel_continuous_1class,30,NA,23
195,1,3,0.000218933114258,na,na,0,0.0453838418279,del,1,neu,82400.098507,r_19,500,True,indel_continuous_1class,30,NA,23
195,1,3,0.000218351171429,122.889297665,0.154818911569,na,2.22044604925e-18,ins,1,sel,82400.098507,r_19,500,True,indel_continuous_1class,30,NA,23
195,1,3,0.000146027033324,na,na,0,0.0744693858906,ins,1,neu,82400.098507,r_19,500,True,indel_continuous_1class,30,NA,23
401,1,3,0.000349472954871,93.1142133811,0.332706229882,na,0.13348325465,del,1,sel,82195.697457,sel_ins_scale,500,True,indel_continuous_1class,30,NA,24
401,1,3,0.000218420581922,na,na,0,0.0439680120446,del,1,neu,82195.697457,sel_ins_scale,500,True,indel_continuous_1class,30,NA,24
401,1,3,0.000145366121439,na,na,0,0.0711777371231,ins,1,neu,82195.697457,sel_ins_scale,500,True,indel_continuous_1class,30,NA,24
401,1,3,0.000130216878106,5000,0.00876484921,na,0.0634110114478,ins,1,sel,82195.697457,sel_ins_scale,500,True,indel_continuous_1class,30,NA,24
18,1,3,0.000370990183119,38.5020160999,0.707142834849,na,0.0516516582476,del,1,sel,82194.433337,,500,True,indel_continuous_1class,30,NA,25
18,1,3,0.000211792862856,na,na,0,0.0139266692492,del,1,neu,82194.433337,,500,True,indel_continuous_1class,30,NA,25
18,1,3,0.000193341927337,0.355703815209,6.99636174245,na,0.132162190403,ins,1,sel,82194.433337,,500,True,indel_continuous_1class,30,NA,25
18,1,3,0.000134947740577,na,na,0,0.00039658313629,ins,1,neu,82194.433337,,500,True,indel_continuous_1class,30,NA,25
493,1,3,0.000348236504903,65.8575586378,0.615685837796,na,0,del,1,sel,82179.9781478,sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,27
493,1,3,0.000215330605992,na,na,0,0.0313440336421,del,1,neu,82179.9781478,sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,27
493,1,3,0.000160739536207,0.109648545034,0.001,na,0.0601770320362,ins,1,sel,82179.9781478,sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,27
493,1,3,0.000140770461653,na,na,0,0.0422842328905,ins,1,neu,82179.9781478,sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,27
120,1,3,0.000333834403103,5000,0.0391928487134,na,0.0756834927541,del,1,sel,82156.8587781,r_19|sel_del_scale|sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,28
120,1,3,0.000251614705579,0.1,78.2965070637,na,0,ins,1,sel,82156.8587781,r_19|sel_del_scale|sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,28
120,1,3,0.00021876980885,na,na,0,0.0455939555231,del,1,neu,82156.8587781,r_19|sel_del_scale|sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,28
120,1,3,0.000145932877357,na,na,0,0.0748384630561,ins,1,neu,82156.8587781,r_19|sel_del_scale|sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,28
331,1,3,0.000215273149469,na,na,0,0.0306964012572,del,1,neu,82150.233073,sel_del_scale|sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,26
331,1,3,0.000140577277012,na,na,0,0.0406777100252,ins,1,neu,82150.233073,sel_del_scale|sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,26
331,1,3,0.000133352337736,5000,0.00673639106662,na,0,del,1,sel,82150.233073,sel_del_scale|sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,26
331,1,3,0.000128790050118,0.273572743864,0.001,na,0.0200921948052,ins,1,sel,82150.233073,sel_del_scale|sel_ins_shape|sel_del_e,500,True,indel_continuous_1class,30,NA,26
6,1,3,0.000449688058176,189.258483165,0.269527706349,na,0,del,1,sel,82127.6897479,r_19|sel_ins_e|sel_del_e,500,True,indel_continuous_1class,30,NA,31
6,1,3,0.000218902628782,na,na,0,0.0455404265534,del,1,neu,82127.6897479,r_19|sel_ins_e|sel_del_e,500,True,indel_continuous_1class,30,NA,31
6,1,3,0.000146014735392,na,na,0,0.0747313802617,ins,1,neu,82127.6897479,r_19|sel_ins_e|sel_del_e,500,True,indel_continuous_1class,30,NA,31
6,1,3,0.000111367298496,1.06707061275,3.54257516252,na,0,ins,1,sel,82127.6897479,r_19|sel_ins_e|sel_del_e,500,True,indel_continuous_1class,30,NA,31
76,1,3,0.000252534060814,9.3775735697,0.388108216044,na,0,del,1,sel,82115.6730241,r_19|sel_del_e,500,True,indel_continuous_1class,30,NA,30
76,1,3,0.00021895987245,na,na,0,0.0455423293387,del,1,neu,82115.6730241,r_19|sel_del_e,500,True,indel_continuous_1class,30,NA,30
76,1,3,0.00019233371116,271.38197988,0.039834168503,na,0.0878592719259,ins,1,sel,82115.6730241,r_19|sel_del_e,500,True,indel_continuous_1class,30,NA,30
