run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,bin
67,1,3,0.000254041835744,91.6727564194,0.117216036041,na,0.0148967503994,del,1,sel,117330.289694,neu_ins_e_1,500,True,indel_continuous_1class,30,9
67,1,3,0.000253920833244,na,na,0,0.0125199464371,del,1,neu,117330.289694,neu_ins_e_1,500,True,indel_continuous_1class,30,9
67,1,3,0.000168776119146,180.353108512,0.0496597834668,na,0.0149355615215,ins,1,sel,117330.289694,neu_ins_e_1,500,True,indel_continuous_1class,30,9
67,1,3,0.000159043259681,na,na,0,0,ins,1,neu,117330.289694,neu_ins_e_1,500,True,indel_continuous_1class,30,9
458,1,3,0.000261802468216,234.720832859,0.0892372873521,na,0.0164066049248,del,1,sel,113529.393058,neu_ins_e_1,500,True,indel_continuous_1class,30,10
458,1,3,0.000253991855117,na,na,0,0.0122342109105,del,1,neu,113529.393058,neu_ins_e_1,500,True,indel_continuous_1class,30,10
458,1,3,0.000173322260901,114.331817903,0.0525903258696,na,0.0194391945442,ins,1,sel,113529.393058,neu_ins_e_1,500,True,indel_continuous_1class,30,10
458,1,3,0.000159207691225,na,na,0,0,ins,1,neu,113529.393058,neu_ins_e_1,500,True,indel_continuous_1class,30,10
354,1,3,0.00026745768162,195.678884508,0.100614042861,na,0.00435459434698,del,1,sel,109990.638141,neu_ins_e_1,500,True,indel_continuous_1class,30,11
354,1,3,0.000252048836411,na,na,0,0.0131166629113,del,1,neu,109990.638141,neu_ins_e_1,500,True,indel_continuous_1class,30,11
354,1,3,0.000157623841373,na,na,0,0,ins,1,neu,109990.638141,neu_ins_e_1,500,True,indel_continuous_1class,30,11
354,1,3,0.000149961388508,6.18070263461,0.0625521000694,na,0.00929088415559,ins,1,sel,109990.638141,neu_ins_e_1,500,True,indel_continuous_1class,30,11
233,1,3,0.000276273007993,213.362318897,0.107008294952,na,0.00857554990812,del,1,sel,107477.590062,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,12
233,1,3,0.000252672082235,na,na,0,0.012908729651,del,1,neu,107477.590062,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,12
233,1,3,0.00015809882707,na,na,0,0,ins,1,neu,107477.590062,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,12
233,1,3,0.000153221627112,0.1,0.001,na,0.0102517892117,ins,1,sel,107477.590062,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,12
293,1,3,0.000260169023943,156.571024423,0.0933426421176,na,0.0156888452143,del,1,sel,103950.853057,neu_ins_e_1,500,True,indel_continuous_1class,30,13
293,1,3,0.000253862168366,na,na,0,0.0128254051416,del,1,neu,103950.853057,neu_ins_e_1,500,True,indel_continuous_1class,30,13
293,1,3,0.000158879316917,na,na,0,0,ins,1,neu,103950.853057,neu_ins_e_1,500,True,indel_continuous_1class,30,13
293,1,3,0.000151809491805,130.883345734,0.0111137823344,na,0.0168436702963,ins,1,sel,103950.853057,neu_ins_e_1,500,True,indel_continuous_1class,30,13
25,1,3,0.000276787719375,110.568597782,0.132884755705,na,0.0115083310594,del,1,sel,101380.247491,neu_ins_e_1,500,True,indel_continuous_1class,30,14
25,1,3,0.000253975326946,na,na,0,0.012706645411,del,1,neu,101380.247491,neu_ins_e_1,500,True,indel_continuous_1class,30,14
25,1,3,0.000168445684201,216.00944531,0.0390115484246,na,0.0217663539674,ins,1,sel,101380.247491,neu_ins_e_1,500,True,indel_continuous_1class,30,14
25,1,3,0.000158999776125,na,na,0,0,ins,1,neu,101380.247491,neu_ins_e_1,500,True,indel_continuous_1class,30,14
79,1,3,0.000307075699609,128.546053215,0.144976202793,na,0.0509704723598,del,1,sel,99212.4721874,,500,True,indel_continuous_1class,30,15
79,1,3,0.000260246820984,na,na,0,0.0385376758872,del,1,neu,99212.4721874,,500,True,indel_continuous_1class,30,15
79,1,3,0.000169427596513,na,na,0,0.0629678154376,ins,1,neu,99212.4721874,,500,True,indel_continuous_1class,30,15
79,1,3,0.000161095577652,0.117079982822,0.00110627262713,na,0.0664948116856,ins,1,sel,99212.4721874,,500,True,indel_continuous_1class,30,15
122,1,3,0.000252267918664,na,na,0,0.012962248773,del,1,neu,96636.7295683,neu_ins_e_1,500,True,indel_continuous_1class,30,16
122,1,3,0.000234987332201,99.700759237,0.0695016444798,na,0.0116100189868,del,1,sel,96636.7295683,neu_ins_e_1,500,True,indel_continuous_1class,30,16
122,1,3,0.000157825073913,na,na,0,0,ins,1,neu,96636.7295683,neu_ins_e_1,500,True,indel_continuous_1class,30,16
122,1,3,0.000157428806323,1.35980134406,0.363473623981,na,0.00431150449367,ins,1,sel,96636.7295683,neu_ins_e_1,500,True,indel_continuous_1class,30,16
436,1,3,0.000252965996202,na,na,0,0.0128310225403,del,1,neu,94904.1813841,neu_ins_e_1,500,True,indel_continuous_1class,30,17
436,1,3,0.000250800560455,70.6352297964,0.0965142811343,na,0.0227469121913,del,1,sel,94904.1813841,neu_ins_e_1,500,True,indel_continuous_1class,30,17
436,1,3,0.000158315711038,na,na,0,0,ins,1,neu,94904.1813841,neu_ins_e_1,500,True,indel_continuous_1class,30,17
436,1,3,0.000153758171536,147.126915128,0.0222478915944,na,0.0125837382844,ins,1,sel,94904.1813841,neu_ins_e_1,500,True,indel_continuous_1class,30,17
138,1,3,0.00028741115334,107.907428792,0.138167852354,na,0.0277343880426,del,1,sel,93974.6143735,neu_ins_e_1,500,True,indel_continuous_1class,30,18
138,1,3,0.000254179239456,na,na,0,0.0128364747107,del,1,neu,93974.6143735,neu_ins_e_1,500,True,indel_continuous_1class,30,18
138,1,3,0.000175415185045,173.627418085,0.0585835151075,na,0.0141309450982,ins,1,sel,93974.6143735,neu_ins_e_1,500,True,indel_continuous_1class,30,18
138,1,3,0.000159072873834,na,na,0,0,ins,1,neu,93974.6143735,neu_ins_e_1,500,True,indel_continuous_1class,30,18
313,1,3,0.000294157393072,142.136085319,0.135357744496,na,0.0131880801693,del,1,sel,92973.2672113,neu_ins_e_1,500,True,indel_continuous_1class,30,19
313,1,3,0.000254949249708,na,na,0,0.012812449143,del,1,neu,92973.2672113,neu_ins_e_1,500,True,indel_continuous_1class,30,19
313,1,3,0.000165798030951,417.003640882,0.00262192402632,na,0.0414828806836,ins,1,sel,92973.2672113,neu_ins_e_1,500,True,indel_continuous_1class,30,19
313,1,3,0.000159564544651,na,na,0,0,ins,1,neu,92973.2672113,neu_ins_e_1,500,True,indel_continuous_1class,30,19
323,1,3,0.000254209638439,13.3630251869,0.225692627624,na,0.0181920637939,del,1,sel,91299.4818184,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,20
323,1,3,0.000252502234822,na,na,0,0.0128414736515,del,1,neu,91299.4818184,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,20
323,1,3,0.000158020632045,na,na,0,0,ins,1,neu,91299.4818184,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,20
323,1,3,0.000153090689033,0.1,0.001,na,0.0257288777944,ins,1,sel,91299.4818184,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,20
255,1,3,0.000268534827,181.231595208,0.0826230015641,na,0.00396265964188,del,1,sel,90838.7378943,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,21
255,1,3,0.000253316260058,na,na,0,0.0129201268942,del,1,neu,90838.7378943,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,21
255,1,3,0.000160556404557,0.1,0.001,na,0.00650647993022,ins,1,sel,90838.7378943,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,21
255,1,3,0.000158498103926,na,na,0,0,ins,1,neu,90838.7378943,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,21
302,1,3,0.000304996921259,155.765182972,0.129849805527,na,0.0123006545109,del,1,sel,89342.2452696,,500,True,indel_continuous_1class,30,22
302,1,3,0.000253536340429,na,na,0,0.0129062262907,del,1,neu,89342.2452696,,500,True,indel_continuous_1class,30,22
302,1,3,0.000158642525031,na,na,0,2.22044604925e-18,ins,1,neu,89342.2452696,,500,True,indel_continuous_1class,30,22
302,1,3,0.000158511191312,122.383611404,0.0216435998092,na,0.0124745096007,ins,1,sel,89342.2452696,,500,True,indel_continuous_1class,30,22
25,1,3,0.000253075468739,na,na,0,0.0127256324081,del,1,neu,88782.2097064,neu_ins_e_1,500,True,indel_continuous_1class,30,23
25,1,3,0.000243822983351,128.461135124,0.0489047402175,na,0.0253909936666,del,1,sel,88782.2097064,neu_ins_e_1,500,True,indel_continuous_1class,30,23
25,1,3,0.00017485188124,67.0364576303,0.0401007492542,na,0.000497277016208,ins,1,sel,88782.2097064,neu_ins_e_1,500,True,indel_continuous_1class,30,23
25,1,3,0.000158428190864,na,na,0,0,ins,1,neu,88782.2097064,neu_ins_e_1,500,True,indel_continuous_1class,30,23
98,1,3,0.000297728508405,129.144070548,0.110361368423,na,0.0319143690949,del,1,sel,88078.798045,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,24
98,1,3,0.000253550191054,na,na,0,0.012858560151,del,1,neu,88078.798045,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,24
98,1,3,0.000158669484276,na,na,0,0,ins,1,neu,88078.798045,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,24
98,1,3,0.000155877166368,0.1,0.001,na,0.00221069036199,ins,1,sel,88078.798045,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,24
40,1,3,0.000299503540974,123.370425193,0.120954107046,na,0.0188371262419,del,1,sel,87218.0968698,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,25
40,1,3,0.000253032386344,na,na,0,0.0129278030992,del,1,neu,87218.0968698,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,25
40,1,3,0.000158316636899,na,na,0,0,ins,1,neu,87218.0968698,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,25
40,1,3,0.000156361140393,0.1,0.001,na,0.00321435901707,ins,1,sel,87218.0968698,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,25
151,1,3,0.000254217832719,na,na,0,0.0127332096604,del,1,neu,86027.8324168,neu_ins_e_1,500,True,indel_continuous_1class,30,26
151,1,3,0.000253566902846,126.562733324,0.0657366315994,na,0.0246427297333,del,1,sel,86027.8324168,neu_ins_e_1,500,True,indel_continuous_1class,30,26
151,1,3,0.000188573117321,246.032507673,0.0666611861069,na,0.00500502228452,ins,1,sel,86027.8324168,neu_ins_e_1,500,True,indel_continuous_1class,30,26
151,1,3,0.000159140272816,na,na,0,0,ins,1,neu,86027.8324168,neu_ins_e_1,500,True,indel_continuous_1class,30,26
293,1,3,0.000254750330386,na,na,0,0.0197782742058,del,1,neu,85437.8501094,sel_ins_e,500,True,indel_continuous_1class,30,27
293,1,3,0.000247281970848,124.423506029,0.0384169107181,na,0.058910090758,del,1,sel,85437.8501094,sel_ins_e,500,True,indel_continuous_1class,30,27
293,1,3,0.000188461601098,10.5575386952,0.363531320947,na,0,ins,1,sel,85437.8501094,sel_ins_e,500,True,indel_continuous_1class,30,27
293,1,3,0.000161046060854,na,na,0,0.0170712616778,ins,1,neu,85437.8501094,sel_ins_e,500,True,indel_continuous_1class,30,27
247,1,3,0.00027284350182,131.711773302,0.101884808094,na,0.0135334957771,del,1,sel,84870.5227778,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,28
247,1,3,0.000251448242765,na,na,0,0.0125846110551,del,1,neu,84870.5227778,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,28
247,1,3,0.000158020445399,0.1,0.001,na,0.0164919472188,ins,1,sel,84870.5227778,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,28
247,1,3,0.00015746792471,na,na,0,0,ins,1,neu,84870.5227778,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,28
217,1,3,0.000275006566625,880.158336429,0.0516355207942,na,0.0132768770949,del,1,sel,84601.9144543,neu_ins_e_1,500,True,indel_continuous_1class,30,29
217,1,3,0.000252670514894,na,na,0,0.0128716686568,del,1,neu,84601.9144543,neu_ins_e_1,500,True,indel_continuous_1class,30,29
217,1,3,0.0001764431083,84.8408361288,0.0179183763611,na,0.0216644989466,ins,1,sel,84601.9144543,neu_ins_e_1,500,True,indel_continuous_1class,30,29
217,1,3,0.000158117524904,na,na,0,0,ins,1,neu,84601.9144543,neu_ins_e_1,500,True,indel_continuous_1class,30,29
448,1,3,0.000305427667463,135.750682633,0.127628411925,na,0.00468913644735,del,1,sel,84385.9772097,,500,True,indel_continuous_1class,30,30
448,1,3,0.000253975554812,na,na,0,0.0128099399442,del,1,neu,84385.9772097,,500,True,indel_continuous_1class,30,30
448,1,3,0.000185490388955,152.789888469,0.0273128163814,na,0.0520870540358,ins,1,sel,84385.9772097,,500,True,indel_continuous_1class,30,30
448,1,3,0.000158956709321,na,na,0,2.22044604925e-18,ins,1,neu,84385.9772097,,500,True,indel_continuous_1class,30,30
334,1,3,0.000292127332166,167.408179621,0.104294563367,na,0.02529792094,del,1,sel,84281.4500457,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,31
334,1,3,0.000256527020695,na,na,0,0.0271152120844,del,1,neu,84281.4500457,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,31
334,1,3,0.000181268717619,0.1,0.001,na,0.0323100138576,ins,1,sel,84281.4500457,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,31
334,1,3,0.000163957195512,na,na,0,0.0349834388035,ins,1,neu,84281.4500457,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,31
382,1,3,0.000268609921578,113.746912193,0.0853807689087,na,0.0590508822353,del,1,sel,83520.7632589,r_19|sel_ins_shape,500,True,indel_continuous_1class,30,32
382,1,3,0.000261396897361,na,na,0,0.0447435639957,del,1,neu,83520.7632589,r_19|sel_ins_shape,500,True,indel_continuous_1class,30,32
382,1,3,0.000171643871871,na,na,0,0.0770821940359,ins,1,neu,83520.7632589,r_19|sel_ins_shape,500,True,indel_continuous_1class,30,32
382,1,3,0.000171406469166,0.103594016683,0.001,na,0.0521895986911,ins,1,sel,83520.7632589,r_19|sel_ins_shape,500,True,indel_continuous_1class,30,32
164,1,3,0.000284930397667,192.58499838,0.0686855431909,na,0.0674201907289,del,1,sel,83368.9330265,r_19,500,True,indel_continuous_1class,30,33
164,1,3,0.000261666743824,na,na,0,0.0447270198389,del,1,neu,83368.9330265,r_19,500,True,indel_continuous_1class,30,33
164,1,3,0.000188439004358,347.976039456,0.0458945757291,na,0.0752915775943,ins,1,sel,83368.9330265,r_19,500,True,indel_continuous_1class,30,33
164,1,3,0.000171813488314,na,na,0,0.0770327469679,ins,1,neu,83368.9330265,r_19,500,True,indel_continuous_1class,30,33
122,1,3,0.000328524918288,111.832325873,0.154505033346,na,0.0235944821209,del,1,sel,83219.3819347,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,34
122,1,3,0.000253458817917,na,na,0,0.0166056783717,del,1,neu,83219.3819347,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,34
122,1,3,0.000176444392943,5000,0.00809945266692,na,0,ins,1,sel,83219.3819347,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,34
122,1,3,0.000159477896794,na,na,0,0.00924234485316,ins,1,neu,83219.3819347,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,34
43,1,3,0.000353907678917,126.86825694,0.183115483588,na,0.00480514720128,del,1,sel,82746.3490029,neu_ins_e_1,500,True,indel_continuous_1class,30,35
