run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,window,rec_rate,callable,n_ins,theta_ins,pi_ins,tajd_ins,n_del,theta_del,pi_del,tajd_del
305,1,3,0.000180457523772,na,na,0,0.0766445190409,ins,1,neu,88137.651028,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,276,0.880631291339,1464236,1028,0.000197892935942,0.000182502216712,-0.325789835034,1411,0.00027162152978,0.000248669289866,-0.354178167291
305,1,3,0.000180457523772,0.1,0.001,na,0.0590234314308,ins,1,sel,88137.651028,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,276,0.880631291339,1464236,1028,0.000197892935942,0.000182502216712,-0.325789835034,1411,0.00027162152978,0.000248669289866,-0.354178167291
105,1,3,0.00026595277163,na,na,0,0.0429321013649,del,1,neu,88004.1695106,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,378,1.63165493881,1538432,1050,0.000192379703758,0.00019075813624,-0.0353105215072,1406,0.00025760558427,0.000244921281436,-0.206381053256
105,1,3,0.00026595277163,0.1,0.001,na,0.0626350040245,del,1,sel,88004.1695106,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,378,1.63165493881,1538432,1050,0.000192379703758,0.00019075813624,-0.0353105215072,1406,0.00025760558427,0.000244921281436,-0.206381053256
105,1,3,0.000177292703345,na,na,0,0.0756601446135,ins,1,neu,88004.1695106,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,378,1.63165493881,1538432,1050,0.000192379703758,0.00019075813624,-0.0353105215072,1406,0.00025760558427,0.000244921281436,-0.206381053256
105,1,3,0.000177292703345,0.1,0.001,na,0.0636407402916,ins,1,sel,88004.1695106,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,378,1.63165493881,1538432,1050,0.000192379703758,0.00019075813624,-0.0353105215072,1406,0.00025760558427,0.000244921281436,-0.206381053256
85,1,3,0.000268994481603,na,na,0,0.0446475206866,del,1,neu,87947.238426,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,363,0.509971678036,1609079,1004,0.000175875199582,0.000159793927229,-0.383003314001,1358,0.00023788697314,0.000211837428675,-0.458948509412
85,1,3,0.000268994481603,0.1,0.001,na,0.0582041151235,del,1,sel,87947.238426,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,363,0.509971678036,1609079,1004,0.000175875199582,0.000159793927229,-0.383003314001,1358,0.00023788697314,0.000211837428675,-0.458948509412
85,1,3,0.000178796534454,na,na,0,0.0783755720373,ins,1,neu,87947.238426,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,363,0.509971678036,1609079,1004,0.000175875199582,0.000159793927229,-0.383003314001,1358,0.00023788697314,0.000211837428675,-0.458948509412
85,1,3,0.000178796534454,0.1,0.001,na,0.0536547450134,ins,1,sel,87947.238426,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,363,0.509971678036,1609079,1004,0.000175875199582,0.000159793927229,-0.383003314001,1358,0.00023788697314,0.000211837428675,-0.458948509412
338,1,3,0.000268348717214,na,na,0,0.0443803787903,del,1,neu,87935.6910813,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,222,0.883082714947,1550350,1010,0.00018362841161,0.000170195864092,-0.306415604924,1372,0.000249443743295,0.000223277256579,-0.439657479441
338,1,3,0.000268348717214,0.1,0.001,na,0.0622349260576,del,1,sel,87935.6910813,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,222,0.883082714947,1550350,1010,0.00018362841161,0.000170195864092,-0.306415604924,1372,0.000249443743295,0.000223277256579,-0.439657479441
338,1,3,0.000178285586993,na,na,0,0.077753297139,ins,1,neu,87935.6910813,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,222,0.883082714947,1550350,1010,0.00018362841161,0.000170195864092,-0.306415604924,1372,0.000249443743295,0.000223277256579,-0.439657479441
338,1,3,0.000178285586993,0.1,0.001,na,0.0612671537262,ins,1,sel,87935.6910813,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,222,0.883082714947,1550350,1010,0.00018362841161,0.000170195864092,-0.306415604924,1372,0.000249443743295,0.000223277256579,-0.439657479441
402,1,3,0.000271144899416,na,na,0,0.0436726428669,del,1,neu,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251,0.533450353533,1426194,1014,0.000200404563745,0.000183484301944,-0.353667837684,1365,0.000269775374273,0.000240821301125,-0.449826938476
402,1,3,0.000271144899416,0.1,0.001,na,0.0521189058758,del,1,sel,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251,0.533450353533,1426194,1014,0.000200404563745,0.000183484301944,-0.353667837684,1365,0.000269775374273,0.000240821301125,-0.449826938476
402,1,3,0.000181110965932,na,na,0,0.0771566511423,ins,1,neu,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251,0.533450353533,1426194,1014,0.000200404563745,0.000183484301944,-0.353667837684,1365,0.000269775374273,0.000240821301125,-0.449826938476
402,1,3,0.000181110965932,0.1,0.001,na,0.0582414779532,ins,1,sel,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251,0.533450353533,1426194,1014,0.000200404563745,0.000183484301944,-0.353667837684,1365,0.000269775374273,0.000240821301125,-0.449826938476
439,1,3,0.000269539707339,na,na,0,0.0435986726929,del,1,neu,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302,0.479682721717,1480279,975,0.000185656130719,0.000173299478644,-0.278772544549,1373,0.000261441915362,0.000237202794736,-0.388583016985
439,1,3,0.000269539707339,0.1,0.001,na,0.0441211870828,del,1,sel,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302,0.479682721717,1480279,975,0.000185656130719,0.000173299478644,-0.278772544549,1373,0.000261441915362,0.000237202794736,-0.388583016985
439,1,3,0.000178147700282,na,na,0,0.0758483271009,ins,1,neu,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302,0.479682721717,1480279,975,0.000185656130719,0.000173299478644,-0.278772544549,1373,0.000261441915362,0.000237202794736,-0.388583016985
439,1,3,0.000178147700282,0.1,0.001,na,0.0419121799156,ins,1,sel,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302,0.479682721717,1480279,975,0.000185656130719,0.000173299478644,-0.278772544549,1373,0.000261441915362,0.000237202794736,-0.388583016985
234,1,3,0.000268152050221,na,na,0,0.0429877717806,del,1,neu,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355,1.16059545318,1509971,964,0.000179952002916,0.000166845309577,-0.305058948659,1353,0.00025256748957,0.000234263822913,-0.30373339401
234,1,3,0.000268152050221,0.1,0.001,na,0.0564834025026,del,1,sel,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355,1.16059545318,1509971,964,0.000179952002916,0.000166845309577,-0.305058948659,1353,0.00025256748957,0.000234263822913,-0.30373339401
234,1,3,0.000176391284513,na,na,0,0.0743106081604,ins,1,neu,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355,1.16059545318,1509971,964,0.000179952002916,0.000166845309577,-0.305058948659,1353,0.00025256748957,0.000234263822913,-0.30373339401
234,1,3,0.000176391284513,0.1,0.001,na,0.0438753111459,ins,1,sel,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355,1.16059545318,1509971,964,0.000179952002916,0.000166845309577,-0.305058948659,1353,0.00025256748957,0.000234263822913,-0.30373339401
91,1,3,0.000268136045019,na,na,0,0.0440882187822,del,1,neu,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
91,1,3,0.000268136045019,0.1,0.001,na,0.064488573732,del,1,sel,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
91,1,3,0.000177707274006,na,na,0,0.076897631534,ins,1,neu,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
91,1,3,0.000177707274006,0.1,0.001,na,0.0582494115299,ins,1,sel,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
174,1,3,0.000265570857284,na,na,0,0.0445509522855,del,1,neu,87536.7018706,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,148,0.636086177315,1593763,939,0.000166069588452,0.000157898402447,-0.206070568581,1362,0.00024088048932,0.000217063244925,-0.414406390797
174,1,3,0.000265570857284,0.1,0.001,na,0.0538160406429,del,1,sel,87536.7018706,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,148,0.636086177315,1593763,939,0.000166069588452,0.000157898402447,-0.206070568581,1362,0.00024088048932,0.000217063244925,-0.414406390797
174,1,3,0.00017523023646,na,na,0,0.077197235227,ins,1,neu,87536.7018706,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,148,0.636086177315,1593763,939,0.000166069588452,0.000157898402447,-0.206070568581,1362,0.00024088048932,0.000217063244925,-0.414406390797
174,1,3,0.00017523023646,0.1,0.001,na,0.0684015990219,ins,1,sel,87536.7018706,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,148,0.636086177315,1593763,939,0.000166069588452,0.000157898402447,-0.206070568581,1362,0.00024088048932,0.000217063244925,-0.414406390797
410,1,3,0.000266206287043,na,na,0,0.044029137188,del,1,neu,87519.5590594,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,217,1.02498207231,1598387,959,0.000169116088742,0.000158643485095,-0.259365316628,1336,0.000235598638748,0.000208512838584,-0.481827747466
410,1,3,0.000266206287043,0.1,0.001,na,0.0631826838536,del,1,sel,87519.5590594,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,217,1.02498207231,1598387,959,0.000169116088742,0.000158643485095,-0.259365316628,1336,0.000235598638748,0.000208512838584,-0.481827747466
410,1,3,0.000176298109108,na,na,0,0.076702458419,ins,1,neu,87519.5590594,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,217,1.02498207231,1598387,959,0.000169116088742,0.000158643485095,-0.259365316628,1336,0.000235598638748,0.000208512838584,-0.481827747466
410,1,3,0.000176298109108,0.1,0.001,na,0.0700367673578,ins,1,sel,87519.5590594,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,217,1.02498207231,1598387,959,0.000169116088742,0.000158643485095,-0.259365316628,1336,0.000235598638748,0.000208512838584,-0.481827747466
251,1,3,0.000263921907923,na,na,0,0.0434471197785,del,1,neu,87433.9177249,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,39,1.86217925355,1584759,932,0.000165768093582,0.000159389999894,-0.161139980792,1367,0.000243138394771,0.000227648759876,-0.267009526198
251,1,3,0.000263921907923,0.1,0.001,na,0.0410821723887,del,1,sel,87433.9177249,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,39,1.86217925355,1584759,932,0.000165768093582,0.000159389999894,-0.161139980792,1367,0.000243138394771,0.000227648759876,-0.267009526198
251,1,3,0.000174779010481,na,na,0,0.0757627013501,ins,1,neu,87433.9177249,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,39,1.86217925355,1584759,932,0.000165768093582,0.000159389999894,-0.161139980792,1367,0.000243138394771,0.000227648759876,-0.267009526198
251,1,3,0.000174779010481,0.1,0.001,na,0.0687018434516,ins,1,sel,87433.9177249,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,39,1.86217925355,1584759,932,0.000165768093582,0.000159389999894,-0.161139980792,1367,0.000243138394771,0.000227648759876,-0.267009526198
234,1,3,0.00026766459761,na,na,0,0.0438318279471,del,1,neu,87351.984116,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
234,1,3,0.00026766459761,0.1,0.001,na,0.0520191023801,del,1,sel,87351.984116,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
234,1,3,0.000179137354358,na,na,0,0.0775437121499,ins,1,neu,87351.984116,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
234,1,3,0.000179137354358,0.1,0.001,na,0.0848385150563,ins,1,sel,87351.984116,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
92,1,3,0.000272034709924,na,na,0,0.0441046723981,del,1,neu,87331.975006,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,365,0.482297839071,1368495,892,0.000183725694098,0.000170317719369,-0.305605224494,1334,0.00027476465911,0.000241294653116,-0.510524701565
92,1,3,0.000272034709924,0.1,0.001,na,0.0288467888744,del,1,sel,87331.975006,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,365,0.482297839071,1368495,892,0.000183725694098,0.000170317719369,-0.305605224494,1334,0.00027476465911,0.000241294653116,-0.510524701565
92,1,3,0.000179523692575,na,na,0,0.0765405135753,ins,1,neu,87331.975006,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,365,0.482297839071,1368495,892,0.000183725694098,0.000170317719369,-0.305605224494,1334,0.00027476465911,0.000241294653116,-0.510524701565
92,1,3,0.000179523692575,0.1,0.001,na,0.0507244873658,ins,1,sel,87331.975006,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,365,0.482297839071,1368495,892,0.000183725694098,0.000170317719369,-0.305605224494,1334,0.00027476465911,0.000241294653116,-0.510524701565
188,1,3,0.000270211873617,na,na,0,0.0449363477355,del,1,neu,87296.9483532,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,311,0.337216875028,1429081,913,0.000180078634866,0.000165745089253,-0.333336991957,1321,0.000260551891191,0.000233996533437,-0.42714244143
188,1,3,0.000270211873617,0.1,0.001,na,0.0560792542222,del,1,sel,87296.9483532,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,311,0.337216875028,1429081,913,0.000180078634866,0.000165745089253,-0.333336991957,1321,0.000260551891191,0.000233996533437,-0.42714244143
