run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,window,rec_rate,callable,n_ins,theta_ins,pi_ins,tajd_ins,n_del,theta_del,pi_del,tajd_del
322,1,3,0.000212404229906,na,na,0,0.0136189585254,del,1,neu,91268.2289693,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,276,0.880631291339,1464236,1028,0.000197892935942,0.000182502216712,-0.325789835034,1411,0.00027162152978,0.000248669289866,-0.354178167291
322,1,3,0.000135359782645,na,na,0,0,ins,1,neu,91268.2289693,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,276,0.880631291339,1464236,1028,0.000197892935942,0.000182502216712,-0.325789835034,1411,0.00027162152978,0.000248669289866,-0.354178167291
228,1,3,0.000300057374072,0.100638020898,0.001,na,0.0248406088706,del,1,sel,91114.6227766,sel_del_shape|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,378,1.63165493881,1538432,1050,0.000192379703758,0.00019075813624,-0.0353105215072,1406,0.00025760558427,0.000244921281436,-0.206381053256
228,1,3,0.0002128017812,0.1,0.001,na,0.0046779259169,ins,1,sel,91114.6227766,sel_del_shape|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,378,1.63165493881,1538432,1050,0.000192379703758,0.00019075813624,-0.0353105215072,1406,0.00025760558427,0.000244921281436,-0.206381053256
228,1,3,0.000210873866791,na,na,0,0.0134736652664,del,1,neu,91114.6227766,sel_del_shape|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,378,1.63165493881,1538432,1050,0.000192379703758,0.00019075813624,-0.0353105215072,1406,0.00025760558427,0.000244921281436,-0.206381053256
228,1,3,0.000134445984729,na,na,0,5.13770002126e-05,ins,1,neu,91114.6227766,sel_del_shape|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,378,1.63165493881,1538432,1050,0.000192379703758,0.00019075813624,-0.0353105215072,1406,0.00025760558427,0.000244921281436,-0.206381053256
197,1,3,0.000429191694527,178.217864311,0.118194235221,na,0.0153788377497,del,1,sel,91062.0294361,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,251,0.533450353533,1426194,1014,0.000200404563745,0.000183484301944,-0.353667837684,1365,0.000269775374273,0.000240821301125,-0.449826938476
197,1,3,0.000249501783792,83.1809042499,0.0379371840832,na,0.0212947047963,ins,1,sel,91062.0294361,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,251,0.533450353533,1426194,1014,0.000200404563745,0.000183484301944,-0.353667837684,1365,0.000269775374273,0.000240821301125,-0.449826938476
197,1,3,0.000211742981181,na,na,0,0.0135458925261,del,1,neu,91062.0294361,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,251,0.533450353533,1426194,1014,0.000200404563745,0.000183484301944,-0.353667837684,1365,0.000269775374273,0.000240821301125,-0.449826938476
197,1,3,0.000134964490403,na,na,0,0,ins,1,neu,91062.0294361,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,251,0.533450353533,1426194,1014,0.000200404563745,0.000183484301944,-0.353667837684,1365,0.000269775374273,0.000240821301125,-0.449826938476
32,1,3,0.000409609081574,256.984720859,0.12308662238,na,0.032490659912,del,1,sel,91032.4370147,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,363,0.509971678036,1609079,1004,0.000175875199582,0.000159793927229,-0.383003314001,1358,0.00023788697314,0.000211837428675,-0.458948509412
