run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,window
74,1,3,0.000137439537854,na,na,0,0.0165429870449,ins,1,neu,90899.0663221,sel_ins_e,500,True,indel_continuous_1class,30,NA,302
171,1,3,0.000317966539048,123.671067391,0.0153098670522,na,0.0368936099685,del,1,sel,90665.2013172,sel_ins_e,500,True,indel_continuous_1class,30,NA,355
171,1,3,0.000214535310572,na,na,0,0.023882617845,del,1,neu,90665.2013172,sel_ins_e,500,True,indel_continuous_1class,30,NA,355
171,1,3,0.000207805746545,95.3553464351,0.0195160513947,na,0,ins,1,sel,90665.2013172,sel_ins_e,500,True,indel_continuous_1class,30,NA,355
171,1,3,0.000138996989049,na,na,0,0.0257221556896,ins,1,neu,90665.2013172,sel_ins_e,500,True,indel_continuous_1class,30,NA,355
441,1,3,0.000351494138502,26.7933898439,0.140563486942,na,0.0257491258157,del,1,sel,90652.243543,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,116
441,1,3,0.00021154058833,na,na,0,0.0136450852241,del,1,neu,90652.243543,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,116
441,1,3,0.000206604888503,0.1,0.001,na,0.0139079319079,ins,1,sel,90652.243543,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,116
441,1,3,0.000134799969446,na,na,0,2.22044604925e-18,ins,1,neu,90652.243543,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,116
100,1,3,0.00036370209775,453.071406236,0.0740827471749,na,0.018394099076,del,1,sel,90611.5207872,sel_ins_scale,500,True,indel_continuous_1class,30,NA,148
100,1,3,0.000210895486324,na,na,0,0.0137739477078,del,1,neu,90611.5207872,sel_ins_scale,500,True,indel_continuous_1class,30,NA,148
100,1,3,0.00018958143335,0.1,0.00100715018256,na,0.0284362761409,ins,1,sel,90611.5207872,sel_ins_scale,500,True,indel_continuous_1class,30,NA,148
100,1,3,0.000134344521985,na,na,0,2.22044604925e-18,ins,1,neu,90611.5207872,sel_ins_scale,500,True,indel_continuous_1class,30,NA,148
101,1,3,0.00036128995495,98.2124687471,0.12570083046,na,0.0270789132048,del,1,sel,90595.3501399,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,217
101,1,3,0.000211467952362,na,na,0,0.0137040453785,del,1,neu,90595.3501399,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,217
101,1,3,0.000192655018901,0.114090157346,0.254263216507,na,0.0316412438557,ins,1,sel,90595.3501399,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,217
101,1,3,0.000134732505093,na,na,0,0,ins,1,neu,90595.3501399,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,217
268,1,3,0.000283536540946,129.03049336,0.00702756985169,na,0.00532801382055,del,1,sel,90507.6304174,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,39
268,1,3,0.000211275900334,na,na,0,0.0135080252844,del,1,neu,90507.6304174,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,39
268,1,3,0.000188430668822,0.1,0.001,na,0.00335599950003,ins,1,sel,90507.6304174,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,39
268,1,3,0.000134678806849,na,na,0,0,ins,1,neu,90507.6304174,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,39
162,1,3,0.000314241109129,0.10040931453,1.96804667579,na,0.0113594393584,del,1,sel,90478.0764044,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,115
162,1,3,0.000228497992067,0.1,0.00398539833149,na,0.0353068214984,ins,1,sel,90478.0764044,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,115
162,1,3,0.000211611709194,na,na,0,0.0137454443239,del,1,neu,90478.0764044,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,115
162,1,3,0.000134810914551,na,na,0,0,ins,1,neu,90478.0764044,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,115
72,1,3,0.000488898468556,265.496178265,0.142657227041,na,0,del,1,sel,90452.0764285,sel_del_e,500,True,indel_continuous_1class,30,NA,365
72,1,3,0.000224988773213,98.7740456146,0.0153795188336,na,0.0232779716488,ins,1,sel,90452.0764285,sel_del_e,500,True,indel_continuous_1class,30,NA,365
72,1,3,0.000212978302308,na,na,0,0.0178466029683,del,1,neu,90452.0764285,sel_del_e,500,True,indel_continuous_1class,30,NA,365
72,1,3,0.00013658660847,na,na,0,0.0103924928459,ins,1,neu,90452.0764285,sel_del_e,500,True,indel_continuous_1class,30,NA,365
453,1,3,0.000345490526355,0.247388625695,4.0527306175,na,0.030015609503,del,1,sel,90396.8495501,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,311
453,1,3,0.000233493268049,204.870212677,0.0549133951712,na,0.00941361306491,ins,1,sel,90396.8495501,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,311
453,1,3,0.000211719043827,na,na,0,0.0137254721577,del,1,neu,90396.8495501,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,311
453,1,3,0.000134886299876,na,na,0,0,ins,1,neu,90396.8495501,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,311
61,1,3,0.000306978522205,89.1966465101,0.152585191322,na,0.033397672585,del,1,sel,90274.4578115,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,317
61,1,3,0.000211864937802,na,na,0,0.013532560412,del,1,neu,90274.4578115,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,317
61,1,3,0.000194190645859,115.541599383,0.113044169082,na,0.0266938300923,ins,1,sel,90274.4578115,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,317
61,1,3,0.000135046397772,na,na,0,0,ins,1,neu,90274.4578115,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,317
475,1,3,0.000327265858287,582.43788457,0.0346884785357,na,0.0112958984496,del,1,sel,90244.4115004,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,113
475,1,3,0.000237364134735,0.1,0.001,na,0.0431533316095,ins,1,sel,90244.4115004,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,113
475,1,3,0.000211183500727,na,na,0,0.0138565083389,del,1,neu,90244.4115004,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,113
475,1,3,0.000134498061175,na,na,0,0,ins,1,neu,90244.4115004,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,113
309,1,3,0.000333225942733,12.4983396306,0.0918103918123,na,0.0561056589012,del,1,sel,90240.3181474,,500,True,indel_continuous_1class,30,NA,257
309,1,3,0.000218723588892,na,na,0,0.0453255290608,del,1,neu,90240.3181474,,500,True,indel_continuous_1class,30,NA,257
309,1,3,0.000217696994474,5.17095465506,0.174572086212,na,0.0353186260145,ins,1,sel,90240.3181474,,500,True,indel_continuous_1class,30,NA,257
309,1,3,0.00014578905592,na,na,0,0.0740340977746,ins,1,neu,90240.3181474,,500,True,indel_continuous_1class,30,NA,257
8,1,3,0.000403655634456,106.38674285,0.0942614423013,na,0.0308628066912,del,1,sel,90215.5640916,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,271
8,1,3,0.000221818143759,0.1,0.001,na,0.00608097571527,ins,1,sel,90215.5640916,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,271
8,1,3,0.000211296232618,na,na,0,0.0136591075026,del,1,neu,90215.5640916,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,271
8,1,3,0.000134639370486,na,na,0,0,ins,1,neu,90215.5640916,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,271
84,1,3,0.000315420362381,5.8089642768,0.20596953865,na,0.0196564265329,del,1,sel,90214.4211821,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,94
84,1,3,0.000233459412449,2.11112014734,0.236677785958,na,0.017759197073,ins,1,sel,90214.4211821,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,94
84,1,3,0.000210657216664,na,na,0,0.0136897610178,del,1,neu,90214.4211821,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,94
84,1,3,0.000134221567573,na,na,0,0,ins,1,neu,90214.4211821,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,94
409,1,3,0.000334322381582,445.173723393,0.0570312753056,na,0.0125227824245,del,1,sel,90183.168601,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,309
409,1,3,0.000262036717816,124.009880512,0.0868865214073,na,0.018267356429,ins,1,sel,90183.168601,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,309
409,1,3,0.000211891774116,na,na,0,0.0136695067736,del,1,neu,90183.168601,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,309
409,1,3,0.000135015099944,na,na,0,0,ins,1,neu,90183.168601,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,309
426,1,3,0.000326679976813,97.8498431313,0.0246276867289,na,0.00675284492193,del,1,sel,90142.3126659,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,334
426,1,3,0.000223977220356,0.1,0.001,na,0.0205957503422,ins,1,sel,90142.3126659,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,334
426,1,3,0.000209804303454,na,na,0,0.0137990514696,del,1,neu,90142.3126659,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,334
426,1,3,0.000133640085158,na,na,0,0,ins,1,neu,90142.3126659,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,334
193,1,3,0.00035400144756,116.523443615,0.0368349826254,na,0.045144573862,del,1,sel,90087.8240687,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,NA,426
193,1,3,0.000229782356996,0.1,0.00218524445557,na,0.0821331413229,ins,1,sel,90087.8240687,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,NA,426
193,1,3,0.000219049922094,na,na,0,0.0452125764906,del,1,neu,90087.8240687,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,NA,426
193,1,3,0.000146063124623,na,na,0,0.0740701423649,ins,1,neu,90087.8240687,r_19|sel_ins_scale,500,True,indel_continuous_1class,30,NA,426
498,1,3,0.00034132645818,1436.3505585,0.040076132499,na,0.00280259152819,del,1,sel,90080.1341661,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,122
498,1,3,0.000212056957371,na,na,0,0.0138051858833,del,1,neu,90080.1341661,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,122
498,1,3,0.000203098729967,131.267652419,0.0102679788058,na,0.0185879862207,ins,1,sel,90080.1341661,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,122
498,1,3,0.000135072996956,na,na,0,0,ins,1,neu,90080.1341661,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,122
175,1,3,0.000407229271534,108.438030641,0.147813019095,na,0.0325979867914,del,1,sel,90036.5183813,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,260
175,1,3,0.000252628564026,132.818631485,0.0630717588868,na,0.0332941967947,ins,1,sel,90036.5183813,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,260
175,1,3,0.000213339511782,na,na,0,0.0130809829503,del,1,neu,90036.5183813,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,260
175,1,3,0.000136145911693,na,na,0,0,ins,1,neu,90036.5183813,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,260
371,1,3,0.000372151173624,69.547074192,0.177806973842,na,0.0141054747956,del,1,sel,90031.297233,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,353
371,1,3,0.000211802360981,na,na,0,0.0135870338313,del,1,neu,90031.297233,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,353
371,1,3,0.000184467435549,94.5978495557,0.00515327332464,na,0.00529858852795,ins,1,sel,90031.297233,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,353
371,1,3,0.000134987125468,na,na,0,0,ins,1,neu,90031.297233,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,353
459,1,3,0.000432530189282,125.72706557,0.25275831138,na,0.0256681916603,del,1,sel,90027.7538689,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,128
