length	count	variant	region
7	23914	indel	non-coding
8	20459	indel	non-coding
9	16565	indel	non-coding
10	13994	indel	non-coding
11	11625	indel	non-coding
12	9267	indel	non-coding
13	6856	indel	non-coding
14	5910	indel	non-coding
15	4854	indel	non-coding
16	4147	indel	non-coding
17	3528	indel	non-coding
18	3139	indel	non-coding
19	2854	indel	non-coding
20	2795	indel	non-coding
21	2277	indel	non-coding
22	2014	indel	non-coding
23	1685	indel	non-coding
24	1500	indel	non-coding
25	1271	indel	non-coding
26	1164	indel	non-coding
27	986	indel	non-coding
28	997	indel	non-coding
29	860	indel	non-coding
30	850	indel	non-coding
31	755	indel	non-coding
32	691	indel	non-coding
33	635	indel	non-coding
34	549	indel	non-coding
35	496	indel	non-coding
36	498	indel	non-coding
37	412	indel	non-coding
38	415	indel	non-coding
39	413	indel	non-coding
40	457	indel	non-coding
41	369	indel	non-coding
42	413	indel	non-coding
43	319	indel	non-coding
44	310	indel	non-coding
45	263	indel	non-coding
46	249	indel	non-coding
47	183	indel	non-coding
48	273	indel	non-coding
49	231	indel	non-coding
50	221	indel	non-coding
1	136156	ins	non-coding
2	33208	ins	non-coding
3	18221	ins	non-coding
4	14441	ins	non-coding
5	7919	ins	non-coding
6	5974	ins	non-coding
7	4282	ins	non-coding
8	4141	ins	non-coding
9	3123	ins	non-coding
10	2485	ins	non-coding
11	1977	ins	non-coding
12	1731	ins	non-coding
13	1329	ins	non-coding
14	1129	ins	non-coding
15	915	ins	non-coding
16	809	ins	non-coding
17	674	ins	non-coding
18	593	ins	non-coding
19	532	ins	non-coding
20	532	ins	non-coding
21	444	ins	non-coding
22	413	ins	non-coding
23	379	ins	non-coding
24	317	ins	non-coding
25	299	ins	non-coding
26	254	ins	non-coding
27	208	ins	non-coding
28	180	ins	non-coding
29	173	ins	non-coding
30	163	ins	non-coding
31	170	ins	non-coding
32	137	ins	non-coding
33	131	ins	non-coding
34	109	ins	non-coding
35	107	ins	non-coding
36	94	ins	non-coding
37	97	ins	non-coding
38	97	ins	non-coding
39	89	ins	non-coding
40	85	ins	non-coding
41	107	ins	non-coding
42	94	ins	non-coding
43	73	ins	non-coding
44	54	ins	non-coding
45	67	ins	non-coding
46	74	ins	non-coding
47	56	ins	non-coding
48	81	ins	non-coding
49	55	ins	non-coding
50	61	ins	non-coding
1	134639	del	non-coding
2	54054	del	non-coding
3	36359	del	non-coding
4	24605	del	non-coding
5	15177	del	non-coding
6	11577	del	non-coding
7	7500	del	non-coding
8	5827	del	non-coding
9	4733	del	non-coding
10	3957	del	non-coding
11	3271	del	non-coding
12	2452	del	non-coding
13	1811	del	non-coding
14	1495	del	non-coding
15	1164	del	non-coding
16	906	del	non-coding
17	807	del	non-coding
18	673	del	non-coding
19	547	del	non-coding
20	417	del	non-coding
21	358	del	non-coding
22	352	del	non-coding
23	265	del	non-coding
24	217	del	non-coding
25	195	del	non-coding
26	169	del	non-coding
27	154	del	non-coding
28	145	del	non-coding
29	133	del	non-coding
30	108	del	non-coding
31	94	del	non-coding
32	86	del	non-coding
33	74	del	non-coding
34	55	del	non-coding
35	67	del	non-coding
36	61	del	non-coding
37	39	del	non-coding
38	49	del	non-coding
39	40	del	non-coding
40	57	del	non-coding
41	39	del	non-coding
42	31	del	non-coding
43	30	del	non-coding
44	40	del	non-coding
45	16	del	non-coding
46	22	del	non-coding
47	10	del	non-coding
48	23	del	non-coding
49	22	del	non-coding
50	20	del	non-coding
