"category","variation","seg_sites","theta_w","pi","tajD","sfs","callable","tw_per_site","pi_per_site"
"intergenic","SNP",4545334,1281191.53018,1162517.22629,-0.388849147886,"corrected",349314996,0.00366772553383308,0.0033279911816039
"intergenic","INS",108338,30537.1900054,28327.8842105,-0.303708290344,"corrected",237181227,0.000128750451254728,0.00011943560866434
"intergenic","DEL",147914,41692.4617628,37154.7842105,-0.456886520041,"corrected",237181227,0.000175783143928166,0.00015665145458793
"intergenic","INDEL",510302,143838.626651,132027.231579,-0.344716855567,"corrected",349314996,0.000411773408808936,0.000377960388448368
"introns","SNP",5224363,1472589.17082,1330308.48947,-0.405604606606,"corrected",434542273,0.0033888283426455,0.00306140178327368
"introns","INS",133859,37730.7843687,34755.7526316,-0.330999503067,"corrected",302121422,0.000124886160401761,0.000115039021071468
"introns","DEL",174997,49326.3364598,43768.105263,-0.473032522658,"corrected",302121422,0.000163266597029985,0.000144869254795842
"introns","INDEL",608466,171508.075226,156677.500001,-0.363003303304,"corrected",434542273,0.000394686744840588,0.000360557556159789
"noncoding","SNP",9769697,2753780.701,2492825.716,-0.397809248678,"corrected",783857269,0.00351311496353554,0.00318020360923642
"noncoding","INS",242195,68267.4106349,63082.5210527,-0.318831230158,"corrected",539302649,0.000126584600987005,0.000116970538100769
"noncoding","DEL",322913,91019.3619619,80923.8368428,-0.465619209068,"corrected",539302649,0.000168772325021344,0.000150052733827384
"noncoding","INDEL",1118768,315346.701877,288704.731579,-0.354663028897,"corrected",783857269,0.000402301176946794,0.000368312884241429
"nonsense","SNP",293,82.5877962635,62.7315789474,-1.0017847777,"corrected",2561179,3.22460071176204e-05,2.44932427399256e-05
"nonsense","INS",NA,NA,NA,NA,"corrected",2053167,NA,NA
"nonsense","DEL",NA,NA,NA,NA,"corrected",2053167,NA,NA
"nonsense","INDEL",NA,NA,NA,NA,"corrected",2561179,NA,NA
