percent_bias_adjust	alpha	var_type	rDI_cds	rDI_nc
0	0.712385776916	ins	1.65322245322	2.08473671925
0	0.855376190301	del	1.65322245322	2.08473671925
0	0.712385776916	ins	1.65322245322	2.08473671925
0	0.855376190301	del	1.65322245322	2.08473671925
-1	0.711176758461	ins	1.58464604405	1.99242818813
-1	0.85519216443	del	1.58464604405	1.99242818813
1	0.713660699861	ins	1.72553701323	2.18292146647
1	0.855554402686	del	1.72553701323	2.18292146647
-2	0.710028663057	ins	1.51952523474	1.90548367562
-2	0.855002035892	del	1.51952523474	1.90548367562
2	0.715007067039	ins	1.80190394225	2.28756198253
2	0.855727072777	del	1.80190394225	2.28756198253
-3	0.708936998958	ins	1.45760525029	1.82344883075
-3	0.854805496004	del	1.45760525029	1.82344883075
3	0.716431056962	ins	1.88267369001	2.39931662351
3	0.855894455159	del	1.88267369001	2.39931662351
-4	0.707897705387	ins	1.39865576038	1.74591920701
-4	0.854602214907	del	1.39865576038	1.74591920701
4	0.717939581714	ins	1.96823831497	2.518936414
4	0.856056789059	del	1.96823831497	2.518936414
-5	0.706907102055	ins	1.34246801637	1.67253359374
-5	0.854391839719	del	1.34246801637	1.67253359374
5	0.719540399153	ins	2.05903784846	2.64728194654
5	0.856214299488	del	2.05903784846	2.64728194654
-6	0.705961845619	ins	1.2888523814	1.60296838911
-6	0.854173992493	del	1.2888523814	1.60296838911
6	0.721242246352	ins	2.15556786375	2.78534411922
6	0.856367198279	del	2.15556786375	2.78534411922
-7	0.705058891983	ins	1.23763619213	1.53693282951
-7	0.853948267946	del	1.23763619213	1.53693282951
7	0.723054999139	ins	2.25838852492	2.93426976853
7	0.856515685042	del	2.25838852492	2.93426976853
-8	0.704195463551	ins	1.1886619013	1.47416492721
-8	0.853714230948	del	1.1886619013	1.47416492721
8	0.724989863865	ins	2.36813546439	3.09539360088
8	0.856659948031	del	2.36813546439	3.09539360088
-9	0.703369020689	ins	1.14178545895	1.41442799653
-9	0.853471413718	del	1.14178545895	1.41442799653
9	0.727059609286	ins	2.48553293531	3.27027830533
9	0.856800164938	del	2.48553293531	3.27027830533
-10	0.702577236773	ins	1.09687489731	1.35750767129
-10	0.853219312706	del	1.09687489731	1.35750767129
10	0.729278848685	ins	2.6114098138	3.46076540257
10	0.856936503629	del	2.6114098138	3.46076540257
-11	0.701817976316	ins	1.05380909006	1.30320933454
-11	0.852957385108	del	1.05380909006	1.30320933454
11	0.731664385422	ins	2.74671919863	3.66904033863
11	0.857069122807	del	2.74671919863	3.66904033863
-12	0.701089275739	ins	1.01247666145	1.25135589541
-12	0.852685044959	del	1.01247666145	1.25135589541
12	0.734235639179	ins	2.89256258845	3.89771670737
12	0.857198172634	del	2.89256258845	3.89771670737
-13	0.700389326408	ins	0.972775024501	1.20178585965
-13	0.852401658765	del	0.972775024501	1.20178585965
13	0.737015175801	ins	3.05021993437	4.14994649739
13	0.857323795298	del	3.05021993437	4.14994649739
-14	0.699716459649	ins	0.934609530855	1.15435164966
-14	0.852106540579	del	0.934609530855	1.15435164966
14	0.740029371317	ins	3.22118730402	4.42956625454
14	0.857446125531	del	3.22118730402	4.42956625454
-15	0.699069133469	ins	0.897892717458	1.10891813699
-15	0.851798946455	del	0.897892717458	1.10891813699
15	0.74330925156	ins	3.4072245053	4.7412935941
15	0.857565291096	del	3.4072245053	4.7412935941
-16	0.698445920754	ins	0.862543637404	1.06536135674
-16	0.851478068192	del	0.862543637404	1.06536135674
16	0.746891564043	ins	3.61041588393	5.0909955303
16	0.857681413229	del	3.61041588393	5.0909955303
-17	0.69784549877	ins	0.828487264204	1.02356737809
-17	0.851143026239	del	0.828487264204	1.02356737809
17	0.750820160672	ins	3.83324875211	5.4860612299
17	0.85779460705	del	3.83324875211	5.4860612299
-18	0.697266639787	ins	0.795653960232	0.983431309148
-18	0.850792861647	del	0.795653960232	0.983431309148
18	0.75514780181	ins	4.07871571608	5.93592988939
18	0.857904981949	del	4.07871571608	5.93592988939
-19	0.696708202707	ins	0.763979001435	0.944856418035
-19	0.850426526899	del	0.763979001435	0.944856418035
19	0.759938539485	ins	4.35044985368	6.45285466362
19	0.858012641932	del	4.35044985368	6.45285466362
-20	0.696169125547	ins	0.733402151472	0.90775335448
-20	0.850042875445	del	0.733402151472	0.90775335448
20	0.765270908931	ins	4.65290574061	7.05303571118
20	0.85811768595	del	4.65290574061	7.05303571118
-21	0.695648418706	ins	0.703867279393	0.872039458905
-21	0.849640649718	del	0.703867279393	0.872039458905
21	0.771242267465	ins	4.99160555498	7.75834865617
21	0.858220208206	del	4.99160555498	7.75834865617
-22	0.695145158897	ins	0.675322015742	0.837638147669
-22	0.849218467361	del	0.675322015742	0.837638147669
22	0.777974792598	ins	5.37347929443	8.59906854729
22	0.85832029843	del	5.37347929443	8.59906854729
-23	0.694658483688	ins	0.647717442668	0.80447836487
-23	0.848774805352	del	0.647717442668	0.80447836487
23	0.785623930016	ins	5.80734395169	9.61832925063
23	0.858418042148	del	5.80734395169	9.61832925063
-24	0.694187586565	ins	0.621007814167	0.772494092453
-24	0.848307981651	del	0.621007814167	0.772494092453
24	0.794390544101	ins	6.30459270113	10.8797614339
24	0.858513520919	del	6.30459270113	10.8797614339
-25	0.693731712476	ins	0.595150303106	0.741623911509
-25	0.847816133886	del	0.595150303106	0.741623911509
25	0.804538813376	ins	6.88020994134	12.4813087517
25	0.858606812569	del	6.88020994134	12.4813087517
