run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,window
338,1,3,0.000178285586993,na,na,0,0.077753297139,ins,1,neu,87935.6910813,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,222
338,1,3,0.000178285586993,0.1,0.001,na,0.0612671537262,ins,1,sel,87935.6910813,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,222
402,1,3,0.000271144899416,na,na,0,0.0436726428669,del,1,neu,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251
402,1,3,0.000271144899416,0.1,0.001,na,0.0521189058758,del,1,sel,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251
402,1,3,0.000181110965932,na,na,0,0.0771566511423,ins,1,neu,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251
402,1,3,0.000181110965932,0.1,0.001,na,0.0582414779532,ins,1,sel,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251
439,1,3,0.000269539707339,na,na,0,0.0435986726929,del,1,neu,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302
439,1,3,0.000269539707339,0.1,0.001,na,0.0441211870828,del,1,sel,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302
439,1,3,0.000178147700282,na,na,0,0.0758483271009,ins,1,neu,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302
439,1,3,0.000178147700282,0.1,0.001,na,0.0419121799156,ins,1,sel,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302
234,1,3,0.000268152050221,na,na,0,0.0429877717806,del,1,neu,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355
234,1,3,0.000268152050221,0.1,0.001,na,0.0564834025026,del,1,sel,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355
234,1,3,0.000176391284513,na,na,0,0.0743106081604,ins,1,neu,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355
234,1,3,0.000176391284513,0.1,0.001,na,0.0438753111459,ins,1,sel,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355
91,1,3,0.000268136045019,na,na,0,0.0440882187822,del,1,neu,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116
91,1,3,0.000268136045019,0.1,0.001,na,0.064488573732,del,1,sel,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116
91,1,3,0.000177707274006,na,na,0,0.076897631534,ins,1,neu,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116
91,1,3,0.000177707274006,0.1,0.001,na,0.0582494115299,ins,1,sel,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116
174,1,3,0.000265570857284,na,na,0,0.0445509522855,del,1,neu,87536.7018706,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,148
174,1,3,0.000265570857284,0.1,0.001,na,0.0538160406429,del,1,sel,87536.7018706,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,148
174,1,3,0.00017523023646,na,na,0,0.077197235227,ins,1,neu,87536.7018706,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,148
174,1,3,0.00017523023646,0.1,0.001,na,0.0684015990219,ins,1,sel,87536.7018706,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,148
410,1,3,0.000266206287043,na,na,0,0.044029137188,del,1,neu,87519.5590594,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,217
410,1,3,0.000266206287043,0.1,0.001,na,0.0631826838536,del,1,sel,87519.5590594,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,217
410,1,3,0.000176298109108,na,na,0,0.076702458419,ins,1,neu,87519.5590594,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,217
410,1,3,0.000176298109108,0.1,0.001,na,0.0700367673578,ins,1,sel,87519.5590594,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,217
251,1,3,0.000263921907923,na,na,0,0.0434471197785,del,1,neu,87433.9177249,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,39
251,1,3,0.000263921907923,0.1,0.001,na,0.0410821723887,del,1,sel,87433.9177249,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,39
251,1,3,0.000174779010481,na,na,0,0.0757627013501,ins,1,neu,87433.9177249,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,39
251,1,3,0.000174779010481,0.1,0.001,na,0.0687018434516,ins,1,sel,87433.9177249,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,39
234,1,3,0.00026766459761,na,na,0,0.0438318279471,del,1,neu,87351.984116,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,115
234,1,3,0.00026766459761,0.1,0.001,na,0.0520191023801,del,1,sel,87351.984116,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,115
234,1,3,0.000179137354358,na,na,0,0.0775437121499,ins,1,neu,87351.984116,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,115
234,1,3,0.000179137354358,0.1,0.001,na,0.0848385150563,ins,1,sel,87351.984116,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,115
92,1,3,0.000272034709924,na,na,0,0.0441046723981,del,1,neu,87331.975006,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,365
92,1,3,0.000272034709924,0.1,0.001,na,0.0288467888744,del,1,sel,87331.975006,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,365
92,1,3,0.000179523692575,na,na,0,0.0765405135753,ins,1,neu,87331.975006,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,365
92,1,3,0.000179523692575,0.1,0.001,na,0.0507244873658,ins,1,sel,87331.975006,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,365
188,1,3,0.000270211873617,na,na,0,0.0449363477355,del,1,neu,87296.9483532,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,311
188,1,3,0.000270211873617,0.1,0.001,na,0.0560792542222,del,1,sel,87296.9483532,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,311
188,1,3,0.000177234442301,na,na,0,0.0772870076047,ins,1,neu,87296.9483532,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,311
188,1,3,0.000177234442301,0.1,0.001,na,0.0503616410712,ins,1,sel,87296.9483532,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,311
238,1,3,0.00026300370067,na,na,0,0.0438428519678,del,1,neu,87216.7811318,r_19,500,True,indel_continuous_1class_equal_t,28,317
238,1,3,0.00026300370067,8.99990421998,0.21925233926,na,0.0564766082513,del,1,sel,87216.7811318,r_19,500,True,indel_continuous_1class_equal_t,28,317
238,1,3,0.000172642020703,na,na,0,0.0754397423184,ins,1,neu,87216.7811318,r_19,500,True,indel_continuous_1class_equal_t,28,317
238,1,3,0.000172642020703,14.2675060755,0.100188166586,na,0.0768194089489,ins,1,sel,87216.7811318,r_19,500,True,indel_continuous_1class_equal_t,28,317
225,1,3,0.000268202381841,na,na,0,0.0450306146545,del,1,neu,87157.2791949,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,257
225,1,3,0.000268202381841,0.1,0.001,na,0.0538218836785,del,1,sel,87157.2791949,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,257
225,1,3,0.000176035452129,na,na,0,0.0774081524354,ins,1,neu,87157.2791949,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,257
225,1,3,0.000176035452129,0.1,0.001,na,0.0346478085426,ins,1,sel,87157.2791949,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,257
379,1,3,0.00026549478479,na,na,0,0.0439005491938,del,1,neu,87124.063125,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,113
379,1,3,0.00026549478479,0.1,0.001,na,0.0599589913817,del,1,sel,87124.063125,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,113
379,1,3,0.000180015561083,na,na,0,0.079225900926,ins,1,neu,87124.063125,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,113
379,1,3,0.000180015561083,0.1,0.001,na,0.0770652409661,ins,1,sel,87124.063125,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,113
11,1,3,0.000265429758289,na,na,0,0.0436532411336,del,1,neu,87109.9708739,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,94
11,1,3,0.000265429758289,0.1,0.001,na,0.0562084215191,del,1,sel,87109.9708739,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,94
11,1,3,0.000178625647168,na,na,0,0.0779275561093,ins,1,neu,87109.9708739,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,94
11,1,3,0.000178625647168,0.1,0.001,na,0.0539140210409,ins,1,sel,87109.9708739,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,94
184,1,3,0.000265918137743,na,na,0,0.0434707257291,del,1,neu,87094.5899993,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,309
184,1,3,0.000265918137743,0.1,0.001,na,0.0470111586489,del,1,sel,87094.5899993,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,309
184,1,3,0.000179135110176,na,na,0,0.0776765262952,ins,1,neu,87094.5899993,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,309
184,1,3,0.000179135110176,0.1,0.001,na,0.054462915517,ins,1,sel,87094.5899993,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,309
462,1,3,0.000270429802028,na,na,0,0.0441604739083,del,1,neu,87083.3478608,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,271
462,1,3,0.000270429802028,0.1,0.001,na,0.0676921872298,del,1,sel,87083.3478608,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,271
462,1,3,0.000178626631175,na,na,0,0.0766205826171,ins,1,neu,87083.3478608,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,271
462,1,3,0.000178626631175,0.1,0.001,na,0.0556899221034,ins,1,sel,87083.3478608,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,271
169,1,3,0.000265740647613,na,na,0,0.0441095231162,del,1,neu,87016.408253,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,334
169,1,3,0.000265740647613,0.1,0.001,na,0.0466987165071,del,1,sel,87016.408253,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,334
169,1,3,0.00017739089006,na,na,0,0.0777757799195,ins,1,neu,87016.408253,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,334
169,1,3,0.00017739089006,0.1,0.001,na,0.075691391751,ins,1,sel,87016.408253,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,334
163,1,3,0.000265825598346,na,na,0,0.0447588098745,del,1,neu,87003.969251,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,122
163,1,3,0.000265825598346,0.1,0.478433181858,na,0.0417583303588,del,1,sel,87003.969251,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,122
163,1,3,0.000177042650776,na,na,0,0.0787130047467,ins,1,neu,87003.969251,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,122
163,1,3,0.000177042650776,0.1,0.001,na,0.0468660921788,ins,1,sel,87003.969251,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,122
116,1,3,0.000268940850459,na,na,0,0.043931373901,del,1,neu,86975.788878,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,426
116,1,3,0.000268940850459,0.1,0.001,na,0.0477310548773,del,1,sel,86975.788878,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,426
116,1,3,0.000178076253841,na,na,0,0.0764757307293,ins,1,neu,86975.788878,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,426
116,1,3,0.000178076253841,0.1,0.001,na,0.0743493801735,ins,1,sel,86975.788878,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,426
