run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,window
466,1,3,0.000158213084534,na,na,0,5.7714802918e-05,ins,1,neu,87423.009395,,500,True,indel_discrete_1class,28,115
466,1,3,0.000252935453702,na,na,0,0.0130682227344,del,1,neu,87423.009395,,500,True,indel_discrete_1class,28,115
466,1,3,0.000221646786695,na,na,0.407049928776,0.0337869376455,ins,1,sel,87423.009395,,500,True,indel_discrete_1class,28,115
466,1,3,0.000310793528728,na,na,-0.14687567617,0.00140768069658,del,1,sel,87423.009395,,500,True,indel_discrete_1class,28,115
52,1,3,0.000171836351407,na,na,0,0.0756436454101,ins,1,neu,87597.3913099,,500,True,indel_discrete_1class,28,116
52,1,3,0.000261851560275,na,na,0,0.0440128598072,del,1,neu,87597.3913099,,500,True,indel_discrete_1class,28,116
52,1,3,0.000209833755913,na,na,0.682597896801,0.0728858232756,ins,1,sel,87597.3913099,,500,True,indel_discrete_1class,28,116
52,1,3,0.000332097226865,na,na,-0.827383603871,0.0514654433275,del,1,sel,87597.3913099,,500,True,indel_discrete_1class,28,116
27,1,3,0.00015895646802,na,na,0,0,ins,1,neu,84992.6505086,neu_ins_e_1,500,True,indel_discrete_1class,28,117
27,1,3,0.000254005451109,na,na,0,0.0128531348417,del,1,neu,84992.6505086,neu_ins_e_1,500,True,indel_discrete_1class,28,117
27,1,3,0.000188695943428,na,na,-0.661533175903,0.0438270709372,ins,1,sel,84992.6505086,neu_ins_e_1,500,True,indel_discrete_1class,28,117
27,1,3,0.00027002327264,na,na,-1.40666144536,0.0231971478809,del,1,sel,84992.6505086,neu_ins_e_1,500,True,indel_discrete_1class,28,117
389,1,3,0.000158679332044,na,na,0,0.000185505450934,ins,1,neu,84270.6547137,,500,True,indel_discrete_1class,28,118
389,1,3,0.000253597715042,na,na,0,0.0130253650698,del,1,neu,84270.6547137,,500,True,indel_discrete_1class,28,118
389,1,3,0.000148813360585,na,na,-0.0515569639211,0.0311567732782,ins,1,sel,84270.6547137,,500,True,indel_discrete_1class,28,118
389,1,3,0.000223468638088,na,na,-1.75725229793,0.00664925027867,del,1,sel,84270.6547137,,500,True,indel_discrete_1class,28,118
84,1,3,0.000166493545652,na,na,0,0.0431962374984,ins,1,neu,85088.5854731,,500,True,indel_discrete_1class,28,119
84,1,3,0.000258975880183,na,na,0,0.0302267517909,del,1,neu,85088.5854731,,500,True,indel_discrete_1class,28,119
84,1,3,0.000158633597698,na,na,-0.339023401962,0.0551147807993,ins,1,sel,85088.5854731,,500,True,indel_discrete_1class,28,119
84,1,3,0.0002437601531,na,na,-0.965186265946,0.0525505653913,del,1,sel,85088.5854731,,500,True,indel_discrete_1class,28,119
97,1,3,0.000159496531638,na,na,0,0.00265422476365,ins,1,neu,86211.7918451,sel_del_e_1,500,True,indel_discrete_1class,28,120
97,1,3,0.000254475950968,na,na,0,0.0139339018089,del,1,neu,86211.7918451,sel_del_e_1,500,True,indel_discrete_1class,28,120
97,1,3,0.000184043002753,na,na,-0.178663142049,0.00343080820502,ins,1,sel,86211.7918451,sel_del_e_1,500,True,indel_discrete_1class,28,120
97,1,3,0.000275948226697,na,na,-0.740078645878,0,del,1,sel,86211.7918451,sel_del_e_1,500,True,indel_discrete_1class,28,120
302,1,3,0.000158417302309,na,na,0,0,ins,1,neu,86407.2300412,neu_ins_e_1,500,True,indel_discrete_1class,28,121
302,1,3,0.000253166034194,na,na,0,0.0128917602996,del,1,neu,86407.2300412,neu_ins_e_1,500,True,indel_discrete_1class,28,121
302,1,3,0.000162679821969,na,na,-0.681964308072,0.0196567378573,ins,1,sel,86407.2300412,neu_ins_e_1,500,True,indel_discrete_1class,28,121
302,1,3,0.000241632190089,na,na,-0.820815478667,0.0384027104986,del,1,sel,86407.2300412,neu_ins_e_1,500,True,indel_discrete_1class,28,121
436,1,3,0.000171861489646,na,na,0,0.0767654843373,ins,1,neu,87024.6675098,r_19,500,True,indel_discrete_1class,28,122
436,1,3,0.000261777718648,na,na,0,0.0446012538925,del,1,neu,87024.6675098,r_19,500,True,indel_discrete_1class,28,122
436,1,3,0.000205159230955,na,na,0.184296291332,0.0606731065159,ins,1,sel,87024.6675098,r_19,500,True,indel_discrete_1class,28,122
436,1,3,0.000315000921675,na,na,-1.12725355946,0.0343758982801,del,1,sel,87024.6675098,r_19,500,True,indel_discrete_1class,28,122
305,1,3,0.00015885352261,na,na,0,0.000805438654865,ins,1,neu,84740.9159085,,500,True,indel_discrete_1class,28,123
305,1,3,0.000253857823286,na,na,0,0.0133823117844,del,1,neu,84740.9159085,,500,True,indel_discrete_1class,28,123
305,1,3,0.000188739803405,na,na,-0.822450896795,0.0621028417219,ins,1,sel,84740.9159085,,500,True,indel_discrete_1class,28,123
305,1,3,0.000270732120955,na,na,-1.79741987778,0.0245322090166,del,1,sel,84740.9159085,,500,True,indel_discrete_1class,28,123
405,1,3,0.00015983344721,na,na,0,0.00345799169767,ins,1,neu,85208.2020365,,500,True,indel_discrete_1class,28,124
405,1,3,0.000254894528423,na,na,0,0.0142574151944,del,1,neu,85208.2020365,,500,True,indel_discrete_1class,28,124
405,1,3,0.000175200542478,na,na,-0.171155393717,0.0517955071831,ins,1,sel,85208.2020365,,500,True,indel_discrete_1class,28,124
405,1,3,0.00027366106209,na,na,-1.43091092016,0.028411983958,del,1,sel,85208.2020365,,500,True,indel_discrete_1class,28,124
453,1,3,0.000159372538021,na,na,0,0,ins,1,neu,85076.448802,neu_ins_e_1,500,True,indel_discrete_1class,28,125
453,1,3,0.000254756402948,na,na,0,0.012983958069,del,1,neu,85076.448802,neu_ins_e_1,500,True,indel_discrete_1class,28,125
